SDG,Weight,Target,Sub_weight,Indicator,Sub_weight,Sub_indicator,sdg,Cal_weight
15,1,15.1,0.1429,15.1.1,0.0714,,15_1_1,0.0714
,,,,15.1.2,0.0714,15.1.2.1,15_1_2_1,0.0357
,,,,,,15.1.2.2,15_1_2_2,0.0357
,,15.2,0.1429,15.2.1,0.1429,15.2.1.1,15_2_1_1,0.0714
,,,,,,15.2.1.2,15_2_1_2,0.0714
,,15.4,0.1429,15.4.1,0.1429,,15_4_1,0.1429
,,15.5,0.1429,15.5.1,0.1429,,15_5_1,0.1429
,,15.6,0.1429,15.6.1,0.1429,15.6.1.1,15_6_1_1,0.0286
,,,,,,15.6.1.2,15_6_1_2,0.0286
,,,,,,15.6.1.3,15_6_1_3,0.0286
,,,,,,15.6.1.4,15_6_1_4,0.0286
,,,,,,15.6.1.5,15_6_1_5,0.0286
,,15.8,0.1429,15.8.1,0.1429,,15_8_1,0.1429
,,15.9,0.1429,15.9.1,0.1429,,15_9_1,0.1429
,,,,,,,,1.0000
