"","GeoAreaCode","Country","SDG","Year","Value"
"1",8,"Albania","14.1","2000",NA
"802",8,"Albania","14.1","2001",NA
"1603",8,"Albania","14.1","2002",NA
"2404",8,"Albania","14.1","2003",NA
"3205",8,"Albania","14.1","2004",NA
"4006",8,"Albania","14.1","2005","3.04"
"4807",8,"Albania","14.1","2006",NA
"5608",8,"Albania","14.1","2007","0.53"
"6409",8,"Albania","14.1","2008","0.88"
"7210",8,"Albania","14.1","2009",NA
"8011",8,"Albania","14.1","2010",NA
"8812",8,"Albania","14.1","2011","0.26"
"9613",8,"Albania","14.1","2012","0.79"
"10414",8,"Albania","14.1","2013",NA
"11215",8,"Albania","14.1","2014","0.62"
"12016",8,"Albania","14.1","2015",NA
"12817",8,"Albania","14.1","2016",NA
"13618",8,"Albania","14.1","2017","1.06"
"14419",8,"Albania","14.1","2018","2.12"
"15220",8,"Albania","14.1","2019","1.32"
"161",8,"Albania","14.5","2000","9.23875"
"962",8,"Albania","14.5","2001","9.23875"
"1763",8,"Albania","14.5","2002","9.23875"
"2564",8,"Albania","14.5","2003","9.23875"
"3365",8,"Albania","14.5","2004","21.51751"
"4166",8,"Albania","14.5","2005","33.34536"
"4967",8,"Albania","14.5","2006","33.34536"
"5768",8,"Albania","14.5","2007","38.68951"
"6569",8,"Albania","14.5","2008","38.68951"
"7370",8,"Albania","14.5","2009","38.68951"
"8171",8,"Albania","14.5","2010","63.3863"
"8972",8,"Albania","14.5","2011","63.3863"
"9773",8,"Albania","14.5","2012","63.3863"
"10574",8,"Albania","14.5","2013","70.65466"
"11375",8,"Albania","14.5","2014","70.65466"
"12176",8,"Albania","14.5","2015","70.65466"
"12977",8,"Albania","14.5","2016","70.69782"
"13778",8,"Albania","14.5","2017","70.69782"
"14579",8,"Albania","14.5","2018","70.69782"
"15380",8,"Albania","14.5","2019","70.69782"
"321",8,"Albania","14.6","2000",NA
"1122",8,"Albania","14.6","2001",NA
"1923",8,"Albania","14.6","2002",NA
"2724",8,"Albania","14.6","2003",NA
"3525",8,"Albania","14.6","2004",NA
"4326",8,"Albania","14.6","2005",NA
"5127",8,"Albania","14.6","2006",NA
"5928",8,"Albania","14.6","2007",NA
"6729",8,"Albania","14.6","2008",NA
"7530",8,"Albania","14.6","2009",NA
"8331",8,"Albania","14.6","2010",NA
"9132",8,"Albania","14.6","2011",NA
"9933",8,"Albania","14.6","2012",NA
"10734",8,"Albania","14.6","2013",NA
"11535",8,"Albania","14.6","2014",NA
"12336",8,"Albania","14.6","2015",NA
"13137",8,"Albania","14.6","2016",NA
"13938",8,"Albania","14.6","2017",NA
"14739",8,"Albania","14.6","2018","60"
"15540",8,"Albania","14.6","2019","60"
"481",8,"Albania","14.7","2000","NaN"
"1282",8,"Albania","14.7","2001","NaN"
"2083",8,"Albania","14.7","2002","NaN"
"2884",8,"Albania","14.7","2003","NaN"
"3685",8,"Albania","14.7","2004","NaN"
"4486",8,"Albania","14.7","2005","NaN"
"5287",8,"Albania","14.7","2006","NaN"
"6088",8,"Albania","14.7","2007","NaN"
"6889",8,"Albania","14.7","2008","NaN"
"7690",8,"Albania","14.7","2009","NaN"
"8491",8,"Albania","14.7","2010","NaN"
"9292",8,"Albania","14.7","2011","NaN"
"10093",8,"Albania","14.7","2012","NaN"
"10894",8,"Albania","14.7","2013","NaN"
"11695",8,"Albania","14.7","2014","NaN"
"12496",8,"Albania","14.7","2015","NaN"
"13297",8,"Albania","14.7","2016","NaN"
"14098",8,"Albania","14.7","2017","NaN"
"14899",8,"Albania","14.7","2018",NA
"15700",8,"Albania","14.7","2019",NA
"642",8,"Albania","14.b","2000",NA
"1443",8,"Albania","14.b","2001",NA
"2244",8,"Albania","14.b","2002",NA
"3045",8,"Albania","14.b","2003",NA
"3846",8,"Albania","14.b","2004",NA
"4647",8,"Albania","14.b","2005",NA
"5448",8,"Albania","14.b","2006",NA
"6249",8,"Albania","14.b","2007",NA
"7050",8,"Albania","14.b","2008",NA
"7851",8,"Albania","14.b","2009",NA
"8652",8,"Albania","14.b","2010",NA
"9453",8,"Albania","14.b","2011",NA
"10254",8,"Albania","14.b","2012",NA
"11055",8,"Albania","14.b","2013",NA
"11856",8,"Albania","14.b","2014",NA
"12657",8,"Albania","14.b","2015",NA
"13458",8,"Albania","14.b","2016",NA
"14259",8,"Albania","14.b","2017",NA
"15060",8,"Albania","14.b","2018","60"
"15861",8,"Albania","14.b","2019","60"
"2",12,"Algeria","14.1","2000",NA
"803",12,"Algeria","14.1","2001",NA
"1604",12,"Algeria","14.1","2002",NA
"2405",12,"Algeria","14.1","2003",NA
"3206",12,"Algeria","14.1","2004",NA
"4007",12,"Algeria","14.1","2005","4.28"
"4808",12,"Algeria","14.1","2006","1.57"
"5609",12,"Algeria","14.1","2007","3.56"
"6410",12,"Algeria","14.1","2008","0.39"
"7211",12,"Algeria","14.1","2009","0.16"
"8012",12,"Algeria","14.1","2010","0.17"
"8813",12,"Algeria","14.1","2011","2.37"
"9614",12,"Algeria","14.1","2012","0.28"
"10415",12,"Algeria","14.1","2013","1.66"
"11216",12,"Algeria","14.1","2014","0.99"
"12017",12,"Algeria","14.1","2015","2.53"
"12818",12,"Algeria","14.1","2016","0.15"
"13619",12,"Algeria","14.1","2017","3.2"
"14420",12,"Algeria","14.1","2018","0.1"
"15221",12,"Algeria","14.1","2019","0.13"
"162",12,"Algeria","14.5","2000","39.83821"
"963",12,"Algeria","14.5","2001","39.83821"
"1764",12,"Algeria","14.5","2002","39.83821"
"2565",12,"Algeria","14.5","2003","39.83821"
"3366",12,"Algeria","14.5","2004","39.83821"
"4167",12,"Algeria","14.5","2005","48.92912"
"4968",12,"Algeria","14.5","2006","48.92912"
"5769",12,"Algeria","14.5","2007","48.92912"
"6570",12,"Algeria","14.5","2008","48.92912"
"7371",12,"Algeria","14.5","2009","48.92912"
"8172",12,"Algeria","14.5","2010","48.92912"
"8973",12,"Algeria","14.5","2011","48.92912"
"9774",12,"Algeria","14.5","2012","48.92912"
"10575",12,"Algeria","14.5","2013","48.92912"
"11376",12,"Algeria","14.5","2014","48.92912"
"12177",12,"Algeria","14.5","2015","48.92912"
"12978",12,"Algeria","14.5","2016","48.92912"
"13779",12,"Algeria","14.5","2017","48.92912"
"14580",12,"Algeria","14.5","2018","48.92912"
"15381",12,"Algeria","14.5","2019","48.92912"
"322",12,"Algeria","14.6","2000",NA
"1123",12,"Algeria","14.6","2001",NA
"1924",12,"Algeria","14.6","2002",NA
"2725",12,"Algeria","14.6","2003",NA
"3526",12,"Algeria","14.6","2004",NA
"4327",12,"Algeria","14.6","2005",NA
"5128",12,"Algeria","14.6","2006",NA
"5929",12,"Algeria","14.6","2007",NA
"6730",12,"Algeria","14.6","2008",NA
"7531",12,"Algeria","14.6","2009",NA
"8332",12,"Algeria","14.6","2010",NA
"9133",12,"Algeria","14.6","2011",NA
"9934",12,"Algeria","14.6","2012",NA
"10735",12,"Algeria","14.6","2013",NA
"11536",12,"Algeria","14.6","2014",NA
"12337",12,"Algeria","14.6","2015",NA
"13138",12,"Algeria","14.6","2016",NA
"13939",12,"Algeria","14.6","2017",NA
"14740",12,"Algeria","14.6","2018","NaN"
"15541",12,"Algeria","14.6","2019","NaN"
"482",12,"Algeria","14.7","2000","NaN"
"1283",12,"Algeria","14.7","2001","NaN"
"2084",12,"Algeria","14.7","2002","NaN"
"2885",12,"Algeria","14.7","2003","NaN"
"3686",12,"Algeria","14.7","2004","NaN"
"4487",12,"Algeria","14.7","2005","NaN"
"5288",12,"Algeria","14.7","2006","NaN"
"6089",12,"Algeria","14.7","2007","NaN"
"6890",12,"Algeria","14.7","2008","NaN"
"7691",12,"Algeria","14.7","2009","NaN"
"8492",12,"Algeria","14.7","2010","NaN"
"9293",12,"Algeria","14.7","2011","NaN"
"10094",12,"Algeria","14.7","2012","NaN"
"10895",12,"Algeria","14.7","2013","NaN"
"11696",12,"Algeria","14.7","2014","NaN"
"12497",12,"Algeria","14.7","2015","NaN"
