"","Country","Year","Value_sum","SDG"
"1","Albania",2000,26.45575,"14"
"161","Albania",2001,26.45575,"14"
"321","Albania",2002,26.45575,"14"
"481","Albania",2003,26.45575,"14"
"641","Albania",2004,28.911502,"14"
"801","Albania",2005,31.277072,"14"
"961","Albania",2006,30.8732367229557,"14"
"1121","Albania",2007,31.843902,"14"
"1281","Albania",2008,31.913902,"14"
"1441","Albania",2009,31.8872597978299,"14"
"1601","Albania",2010,36.7561335236103,"14"
"1761","Albania",2011,36.72926,"14"
"1921","Albania",2012,36.83526,"14"
"2081","Albania",2013,38.271932,"14"
"2241","Albania",2014,38.254932,"14"
"2401","Albania",2015,38.2653073236989,"14"
"2561","Albania",2016,38.3045624945758,"14"
"2721","Albania",2017,38.351564,"14"
"2881","Albania",2018,38.563564,"14"
"3041","Albania",2019,38.403564,"14"
"2","Algeria",2000,8.823642,"14"
"162","Algeria",2001,8.823642,"14"
"322","Algeria",2002,8.823642,"14"
"482","Algeria",2003,8.823642,"14"
"642","Algeria",2004,8.823642,"14"
"802","Algeria",2005,10.641824,"14"
"962","Algeria",2006,10.099824,"14"
"1122","Algeria",2007,10.497824,"14"
"1282","Algeria",2008,9.863824,"14"
"1442","Algeria",2009,9.817824,"14"
"1602","Algeria",2010,9.819824,"14"
"1762","Algeria",2011,10.259824,"14"
"1922","Algeria",2012,9.841824,"14"
"2082","Algeria",2013,10.117824,"14"
"2242","Algeria",2014,9.983824,"14"
"2402","Algeria",2015,10.291824,"14"
"2562","Algeria",2016,9.815824,"14"
"2722","Algeria",2017,10.425824,"14"
"2882","Algeria",2018,9.805824,"14"
"3042","Algeria",2019,9.811824,"14"
"3","American Samoa",2000,14.07829,"14"
"163","American Samoa",2001,14.07829,"14"
"323","American Samoa",2002,14.07829,"14"
"483","American Samoa",2003,14.079464,"14"
"643","American Samoa",2004,14.079464,"14"
"803","American Samoa",2005,14.079464,"14"
"963","American Samoa",2006,15.571464,"14"
"1123","American Samoa",2007,15.239464,"14"
"1283","American Samoa",2008,14.337464,"14"
"1443","American Samoa",2009,14.043464,"14"
"1603","American Samoa",2010,13.861464,"14"
"1763","American Samoa",2011,13.881464,"14"
"1923","American Samoa",2012,14.155464,"14"
"2083","American Samoa",2013,14.439464,"14"
"2243","American Samoa",2014,14.717464,"14"
"2403","American Samoa",2015,13.901464,"14"
"2563","American Samoa",2016,14.121464,"14"
"2723","American Samoa",2017,16.277464,"14"
"2883","American Samoa",2018,14.307464,"14"
"3043","American Samoa",2019,14.527464,"14"
"4","Angola",2000,16.268508,"14"
"164","Angola",2001,16.268508,"14"
"324","Angola",2002,16.268508,"14"
"484","Angola",2003,16.268508,"14"
"644","Angola",2004,16.268508,"14"
"804","Angola",2005,16.268508,"14"
"964","Angola",2006,16.682508,"14"
"1124","Angola",2007,16.006508,"14"
"1284","Angola",2008,17.556508,"14"
"1444","Angola",2009,17.774508,"14"
"1604","Angola",2010,16.498508,"14"
"1764","Angola",2011,16.830508,"14"
"1924","Angola",2012,17.1881640455706,"14"
"2084","Angola",2013,17.807846,"14"
"2244","Angola",2014,16.685537,"14"
"2404","Angola",2015,15.371228,"14"
"2564","Angola",2016,16.2321560771024,"14"
"2724","Angola",2017,17.56908,"14"
"2884","Angola",2018,16.43708,"14"
"3044","Angola",2019,17.65908,"14"
"5","Anguilla",2000,3.00552,"14"
"165","Anguilla",2001,3.00552,"14"
"325","Anguilla",2002,3.00552,"14"
"485","Anguilla",2003,3.00552,"14"
