"X","Country","CountryCode","SDG","Year","value","year","value_ks"
1,"Afghanistan","AFG","15_1_1",2000,2.067824648,2000,2.067824648
93,"Afghanistan","AFG","15_1_1",2001,2.067824648,2001,2.067824648
185,"Afghanistan","AFG","15_1_1",2002,2.067824648,2002,2.067824648
277,"Afghanistan","AFG","15_1_1",2003,2.067824648,2003,2.067824648
369,"Afghanistan","AFG","15_1_1",2004,2.067824648,2004,2.067824648
461,"Afghanistan","AFG","15_1_1",2005,2.067824648,2005,2.067824648
553,"Afghanistan","AFG","15_1_1",2006,2.067824648,2006,2.067824648
645,"Afghanistan","AFG","15_1_1",2007,2.067824648,2007,2.067824648
737,"Afghanistan","AFG","15_1_1",2008,2.067824648,2008,2.067824648
829,"Afghanistan","AFG","15_1_1",2009,2.067824648,2009,2.067824648
921,"Afghanistan","AFG","15_1_1",2010,2.067824648,2010,2.067824648
1013,"Afghanistan","AFG","15_1_1",2011,2.067824648,2011,2.067824648
1105,"Afghanistan","AFG","15_1_1",2012,2.067824648,2012,2.067824648
1197,"Afghanistan","AFG","15_1_1",2013,2.067824648,2013,2.067824648
1289,"Afghanistan","AFG","15_1_1",2014,2.067824648,2014,2.067824648
1381,"Afghanistan","AFG","15_1_1",2015,2.067824648,2015,2.067824648
1473,"Afghanistan","AFG","15_1_1",2016,2.067824648,2016,2.067824648
1565,"Afghanistan","AFG","15_1_1",2017,NA,2017,2.067824648
1657,"Afghanistan","AFG","15_1_1",2018,NA,2018,2.067824648
1752,"Afghanistan","AFG","15_1_2_1",2000,0.11304,2000,0.11304
9312,"Afghanistan","AFG","15_1_2_1",2001,0.11304,2001,0.11304
1852,"Afghanistan","AFG","15_1_2_1",2002,0.11304,2002,0.11304
2772,"Afghanistan","AFG","15_1_2_1",2003,0.11304,2003,0.11304
3692,"Afghanistan","AFG","15_1_2_1",2004,0.11304,2004,0.11304
4612,"Afghanistan","AFG","15_1_2_1",2005,0.11304,2005,0.11304
5532,"Afghanistan","AFG","15_1_2_1",2006,0.11304,2006,0.11304
6452,"Afghanistan","AFG","15_1_2_1",2007,0.11304,2007,0.11304
7372,"Afghanistan","AFG","15_1_2_1",2008,0.11304,2008,0.11304
8292,"Afghanistan","AFG","15_1_2_1",2009,0.11304,2009,0.11304
9212,"Afghanistan","AFG","15_1_2_1",2010,0.11304,2010,0.11304
10132,"Afghanistan","AFG","15_1_2_1",2011,0.11304,2011,0.11304
11052,"Afghanistan","AFG","15_1_2_1",2012,0.11304,2012,0.11304
11972,"Afghanistan","AFG","15_1_2_1",2013,0.11304,2013,0.11304
12892,"Afghanistan","AFG","15_1_2_1",2014,0.11304,2014,0.11304
13812,"Afghanistan","AFG","15_1_2_1",2015,0.11304,2015,0.11304
14732,"Afghanistan","AFG","15_1_2_1",2016,0.11304,2016,0.11304
15652,"Afghanistan","AFG","15_1_2_1",2017,0.11304,2017,0.11304
16572,"Afghanistan","AFG","15_1_2_1",2018,0.11304,2018,0.11304
1749,"Afghanistan","AFG","15_1_2_2",2000,0.04239,2000,0.04239
9310,"Afghanistan","AFG","15_1_2_2",2001,0.04239,2001,0.04239
1851,"Afghanistan","AFG","15_1_2_2",2002,0.04239,2002,0.04239
2771,"Afghanistan","AFG","15_1_2_2",2003,0.04239,2003,0.04239
3691,"Afghanistan","AFG","15_1_2_2",2004,0.04239,2004,0.04239
4611,"Afghanistan","AFG","15_1_2_2",2005,0.04239,2005,0.04239
5531,"Afghanistan","AFG","15_1_2_2",2006,0.04239,2006,0.04239
6451,"Afghanistan","AFG","15_1_2_2",2007,0.04239,2007,0.04239
7371,"Afghanistan","AFG","15_1_2_2",2008,0.04239,2008,0.04239
8291,"Afghanistan","AFG","15_1_2_2",2009,6.14129,2009,6.14129
9211,"Afghanistan","AFG","15_1_2_2",2010,6.14129,2010,6.14129
10131,"Afghanistan","AFG","15_1_2_2",2011,6.14129,2011,6.14129
11051,"Afghanistan","AFG","15_1_2_2",2012,6.14129,2012,6.14129
11971,"Afghanistan","AFG","15_1_2_2",2013,6.14129,2013,6.14129
12891,"Afghanistan","AFG","15_1_2_2",2014,6.14129,2014,6.14129
13811,"Afghanistan","AFG","15_1_2_2",2015,6.14129,2015,6.14129
14731,"Afghanistan","AFG","15_1_2_2",2016,6.14129,2016,6.14129
15651,"Afghanistan","AFG","15_1_2_2",2017,6.14129,2017,6.14129
16571,"Afghanistan","AFG","15_1_2_2",2018,6.14129,2018,6.14129
