Country,CountryCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,0,0,0,0,0,0,0,0,0,7.50651,7.50651,7.50651,7.50651,7.50651,7.50651,7.50651,7.50651,7.50651,7.50651,7.50651
Albania,,24.41642,24.41642,24.41642,24.41642,24.41998,24.41998,26.63592,29.67411,34.6309,34.6309,34.87371,39.69468,44.58797,44.65322,44.65322,44.65322,44.67139,44.67139,46.48584,46.48584
Algeria,,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635
American Samoa,,90.95176,90.95176,90.95176,90.95176,90.95176,90.95176,90.95176,90.95176,90.95176,90.95176,90.95176,90.95176,90.95176,90.95176,90.95176,90.95176,90.95176,90.95176,90.95176,90.95176
Andorra,,14.66758,14.66758,14.66758,17.88982,17.88982,17.88982,17.88982,17.88982,17.88982,17.88982,17.88982,17.88982,17.88982,26.08457,26.08457,26.08457,26.08457,26.08457,26.08457,26.08457
Angola,,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403
Argentina,,28.32375,28.35151,29.29353,30.5702,31.25952,31.26426,31.3936,31.3936,31.3936,34.58119,34.58119,34.58119,35.15079,35.15079,35.74838,35.98557,36.0577,36.0577,37.44995,37.44995
Armenia,,12.99464,12.99464,15.5663,15.5663,15.5663,15.5663,15.5663,15.60126,15.60126,22.34077,22.34077,22.34077,22.34077,22.34077,22.34077,22.34077,22.34077,22.34077,22.34077,22.34077
Australia,,37.79628,39.45291,39.59393,41.36012,41.4186,42.64046,45.00601,47.49731,47.86085,48.99295,51.09647,52.56909,55.89745,58.75329,62.99955,63.95001,64.10556,64.10556,64.10556,64.10556
Australia and New Zealand,,33.69977,34.55996,34.6812,35.88902,36.02407,36.61911,38.62283,40.13652,40.82594,41.95884,43.14838,43.97836,46.04608,47.53992,50.10249,50.90567,51.04069,51.04162,51.07842,51.07842
Austria,,53.89962,56.30876,58.73143,58.73143,59.81098,59.8222,62.12972,62.74382,62.805,62.80897,62.87984,62.88358,62.90747,64.405,64.41826,64.43193,64.43601,64.43601,64.45566,64.45566
Azerbaijan,,32.89862,32.89862,32.89862,36.47726,41.7327,41.96662,50.04244,50.04244,53.42115,55.51211,55.51211,55.51211,55.51211,55.51211,55.51211,55.51211,55.51211,55.51211,55.51211,55.51211
Bangladesh,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,,20.07021,44.1822,56.38336,56.38352,56.38352,56.38373,56.38457,56.38643,56.38643,56.38644,56.38644,56.38644,56.38644,56.38658,56.38663,61.48075,61.48082,61.48098,61.48098,61.48098
Belize,,85.20814,86.60443,86.60443,86.60443,87.10562,87.10562,87.10562,87.10562,87.10562,87.10585,87.10585,87.10585,87.10585,87.10585,87.10585,87.10585,87.10585,87.10585,87.10585,87.10585
Bhutan,,43.3184,43.3184,43.3184,43.3184,43.3184,43.3184,43.3184,43.3184,45.769,45.769,45.769,45.769,45.769,45.769,47.33225,47.33225,47.33225,47.33225,47.33225,47.33225
Bolivia (Plurinational State of),,46.62374,46.6678,47.80466,48.29492,48.29978,48.63026,48.67808,50.39118,50.39118,50.48724,50.5468,50.5468,50.5468,50.5468,50.5468,50.5468,50.5468,50.5468,50.5468,50.5468
Bosnia and Herzegovina,,0,0,0,0,0,0,0,0,14.28571,14.28571,14.28571,14.28571,14.28571,14.28571,14.28571,14.28571,14.28571,14.28571,14.28571,14.28571
Botswana,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,,37.93597,39.62016,41.74222,42.7267,43.64136,44.55639,46.33786,46.50177,46.77971,46.96851,47.85248,47.88514,47.88668,47.94806,47.97946,47.97946,47.97946,48.11827,48.11827,48.11827
Brunei Darussalam,,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279
Bulgaria,,11.53974,11.86638,20.7345,20.73816,20.74091,20.74487,20.75367,78.72998,78.72998,78.72998,78.72998,78.73918,78.73918,78.73918,78.73918,78.73918,78.73918,78.73918,78.73918,78.73918
Burkina Faso,,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354
Burundi,,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964
Cabo Verde,,0,0,0,0,0,6.48909,6.48909,6.48909,6.48909,6.48909,6.48909,6.48909,6.48909,11.21963,11.21963,11.21963,11.21963,11.21963,11.21963,11.21963
Cambodia,,75.71372,75.71372,75.71372,75.71372,84.94888,84.94888,84.94888,84.94888,84.94888,84.94888,84.94888,84.94888,84.94888,84.94888,84.94888,84.94888,84.94888,84.94888,84.94888,84.94888
Cameroon,,17.44379,21.22512,21.22512,21.22512,21.22512,21.22512,21.44958,22.90346,22.90346,24.96694,24.96694,24.96694,24.96694,24.96694,24.96694,24.96694,24.96694,24.96694,24.96694,24.96694
Canada,,24.98632,25.05193,25.05193,26.77029,26.77029,27.39808,27.97892,28.34073,29.67045,29.69988,31.95387,31.96335,31.96335,32.08159,32.08159,32.20637,32.99419,37.11052,37.11052,37.11052
Central African Republic,,50.14602,50.14602,50.14602,50.14602,50.14602,50.14602,50.14602,50.14602,50.14602,50.14602,50.14602,50.14602,50.14602,50.14602,50.14602,50.14602,50.14602,50.14602,50.14602,50.14602
Central and Southern Asia,,26.00976,26.27532,26.34623,26.34623,26.45129,26.50723,26.69139,26.7386,27.05699,27.46718,27.60335,27.60335,30.89349,30.96087,31.09182,31.09182,31.25068,31.25068,31.25068,31.25068
Central Asia,,19.83401,19.83401,19.83401,19.83401,19.83401,19.83401,19.83401,19.83401,19.83401,19.83401,19.83401,19.83401,19.83401,20.07595,20.07595,20.07595,21.10463,21.10463,21.10463,21.10463
Chad,,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988
Chile,,36.95026,36.95026,36.95026,36.95027,36.95027,38.30907,38.30907,38.30907,38.30907,38.31326,39.74507,39.74507,39.74507,41.19219,42.64146,43.44096,43.44096,43.53217,44.85646,44.85798
China,,3.61283,3.61283,3.61283,6.6456,7.0504,7.0504,9.83654,10.02541,10.02541,10.02541,10.12784,10.57388,10.57388,10.95543,10.95543,10.95543,11.11669,11.1167,11.62193,11.62193
"China, Hong Kong Special Administrative Region",,57.00045,57.00045,57.00045,57.00045,57.00045,57.00045,57.00045,57.00045,57.00045,57.00045,57.00045,57.00045,57.00045,57.00045,57.00045,57.00045,57.00045,57.00045,57.00045,57.00045
Colombia,,26.28444,26.38749,26.40545,26.40545,26.40556,27.51107,29.10979,31.52588,33.8347,34.76808,35.02114,40.94987,40.95027,41.22301,41.48937,43.27411,44.68732,46.69846,46.69846,46.69846
Comoros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,,38.509,38.51843,38.8198,38.8198,38.93371,38.94243,39.05162,39.05185,39.05185,39.05185,39.05185,39.05185,39.05368,39.05525,39.09751,39.09751,39.09751,39.10327,39.10327,39.10327
Côte d'Ivoire,,67.39784,67.39784,67.39784,67.39784,67.39784,67.39784,67.39784,67.39784,67.39784,67.39784,67.39784,67.39784,67.39784,67.39784,67.39784,67.39784,67.39784,67.39784,67.39784,67.39784
