"","Country","CountryCode","SDG","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","Afghanistan","AFG",15,12.1432160308672,12.1393577308672,12.1350707308672,12.1313553308672,12.1297834308672,12.1280686308672,12.1269254308672,12.1282115308672,12.1274970308672,13.4173364398672,13.4166219398672,13.4156216398672,16.2746213398672,16.2737639398672,30.5627636398672,30.5616204398672,44.8506201398672,44.8491911398672,44.8487624398672
"2","Albania","ALB",15,36.601126802946,36.649179035672,36.66737812016,36.740100528124,36.959757585786,38.185362573988,38.554574622795,39.1108205532948,39.9424472581148,39.874275572271,40.229082010676,40.878435918775,52.9805068961392,54.1129012516332,54.063262720337,54.037088958734,68.299889888514,68.253304488514,68.471577093514
"3","Algeria","DZA",15,15.7542106624802,16.2925802126458,16.2880354018828,16.636129889407,17.571016398644,31.859329587881,31.995114743116,32.0999949338778,32.173970156525,32.2170404183404,32.2297773156826,32.2940051034238,35.1154158516382,35.0546668880386,34.9707579051994,34.8639747068334,49.153059339521,49.150772939521,49.148200739521
"4","Angola","AGO",15,20.623635191016,20.616059001156,20.608054111296,20.600049444918,20.591901655058,20.583753865198,34.865891874624,34.859601784764,34.852311618386,34.844735428526,34.837445038666,34.829725948806,40.541721058232,40.535288292568,40.527283401994,40.518564012134,40.511988122274,40.511130722274,40.510559122274
"5","Argentina","ARG",15,19.235748054404,19.2530001555666,19.4111131014326,33.9472016958286,34.0844575895706,34.153670558628,34.1651332289004,34.152627680501,34.2409884833334,35.0175123194426,35.008671027166,35.0071790784494,37.9749191168558,38.0073317694978,38.1562539821914,38.269849401549,55.4397929314052,55.4429979474052,58.5171552014052
"6","Armenia","ARM",15,30.524978316924,30.522761905506,30.977413833486,30.968766922782,30.948688087762,30.918891976344,30.89301148564,30.87358851262,30.864655801202,32.124041630896,32.123625599478,32.124555510896,34.986199445202,34.98827175662,34.99105809164,34.994415702344,49.284917313762,49.284774413762,49.284774413762
"7","Australia","AUS",15,36.163023288878,36.493583149818,36.690555641754,36.971847268544,36.993769224616,37.166021147256,37.5251992698078,37.8898652809714,37.9414836910474,38.2365374069338,38.556840004548,38.8424644306202,42.2230541707326,42.6847445439566,43.5951717592922,43.769843946668,58.072977669484,58.025106169484,60.844969833484
"8","Austria","AUT",15,44.484054408876,44.668603469362,45.000380707878,44.869984801398,45.015083362662,44.98312583193,45.3522879934022,45.455506346162,45.507202451442,45.5102275597562,45.522688538866,45.5254316951798,51.251237848548,51.475016604272,51.4808491139538,51.486417654996,65.779226103776,65.779654803776,65.782891488776
"9","Azerbaijan","AZE",15,19.526727322988,19.784268969648,19.78321684229,20.769183010168,35.900092596092,35.955142890106,37.3405622261566,37.4160648625482,38.0208724559222,38.4060334835326,38.438175480232,38.4617912294694,38.4840783840518,38.5028609754718,38.5195442253874,38.530921898814,52.844627272476,52.847628172476,52.845627572476
"10","Bangladesh","BGD",15,15.928044418854,15.898320515926,15.834349725986,15.809754868204,15.775950076098,15.719931384694,29.935736229492,29.886599225696,29.834601842458,29.95457575658,30.083205853534,30.027746112506,32.872095733702,32.822309776006,32.792334903078,32.774846532374,47.008118110908,46.950529410908,49.743366410908
"11","Belgium","BEL",15,23.386118672194,27.1919445127846,29.5015375896042,30.0249926680102,30.0973292994306,30.17885899408,30.1849407951284,44.4778074651276,44.4812378568392,44.4831429102306,44.487003727346,44.4888908040506,53.0708664980656,53.0716450817476,53.1073443496686,53.834629450614,68.127540031296,68.128848995296,68.131135395296
"12","Belize","BLZ",15,44.473637234334,44.633777631698,44.5875272606,44.523755984668,44.537584838856,44.473771236924,44.4352070799078,44.38459337413,44.341440578552,44.3005372922398,44.246241859462,44.2027818808602,44.15456304602,44.100035444904,44.0553798893022,44.004361055738,58.24520876016,58.20876926016,58.17890316016
"13","Bhutan","BTN",15,41.267148158802,41.2821824959,41.298646385634,41.317396351212,41.544856828938,41.566394173964,41.589647133704,41.608736926074,42.311381147512,42.332347807926,42.351313356402,42.369993058468,50.969994888974,50.98824629088,51.43957270998,51.460662847452,65.762864102094,68.617862602094,68.614433002094
"14","Bosnia and Herzegovina","BIH",15,15.97121258125,15.97049808125,15.96964068125,15.96935488125,15.96935488125,15.96992648125,15.97006938125,17.48532924925,21.04230323325,21.04273193325,21.04373223325,35.33444673325,35.33516123325,35.33587573325,35.33644733325,35.33673313325,49.62759053325,49.62787633325,49.62844793325
"15","Botswana","BWA",15,26.128378819394,26.112604637066,26.09711637826,26.081199296646,26.065568137126,40.338222055512,40.3213827729346,40.3040761139682,40.2867305316402,40.2677743729946,40.249065090916,40.2327966456834,43.0770808803618,43.0650617176878,43.0533118110454,43.042254985314,57.318807599832,57.318093099832,57.317664399832
"16","Brazil","BRA",15,26.672234677136,27.024828079474,41.75210366959,41.97489763777,42.173619436728,42.37369785575,42.7435746955622,42.8243615111,42.97736020065,43.0381545943522,43.215597569106,43.2143810077878,51.7830758726176,51.7807936152126,51.775155696364,51.761904819612,66.036246987456,66.052800191456,66.049300904456
"17","Brunei Darussalam","BRN",15,31.829171736334,31.774913034376,31.727227732418,31.688116843866,31.642860841908,31.60732203995,31.563438258422,31.520657338947,31.475407607623,31.427831137638,31.388074655804,31.369217285294,31.358142900039,31.346277500039,31.337193585294,45.610888155804,59.882596955804,59.854302755804,59.844013955804
"18","Burkina Faso","BFA",15,49.817058787934,49.797211962258,49.77707923805,49.757232469494,49.737671402406,49.71753889097,49.696497250434,49.675455609184,49.653556568648,50.271014697112,50.247544112148,50.226149799006,61.645950175974,61.626229418582,61.607128653968,61.587932181898,75.861897830942,75.861469130942,75.860897530942
"19","Burundi","BDI",15,44.7649156947036,44.7367740011832,44.9849786712758,44.9788121172334,44.9825613401614,44.9979412255256,45.396737195642,45.8406760486536,46.245811595056,46.5645349243824,46.7686786274308,46.86195582493,58.3579053394544,58.4000378503404,58.385976533118,58.33879943147,72.641589167814,72.641446267814,72.641446267814
"20","Cambodia","KHM",15,32.546820145034,32.42992967118,46.599609596612,46.479575322758,47.871287496904,47.74696622305,47.6514909540378,47.674966841487,47.569329836929,47.4909682451898,47.3898882058,47.2951331708362,52.920627014067,52.806362945023,52.6992069533882,52.607791055264,66.78281168622,66.72808098622,66.69850068622
"21","Cameroon","CMR",15,34.946871334982,36.067418249456,36.05414183754,36.046051965218,36.04606031045,36.563180312928,36.6894133522944,37.1608568738944,37.415589087664,38.0403493115276,38.127543054588,38.1108724935892,50.8119497718988,50.7764342962308,50.7306389635852,50.679565273248,64.93362049758,64.93176279758,67.79133409758
"22","Canada","CAN",15,36.24013550993,36.27528683505,36.291426972554,36.568656068674,36.565283357178,36.820613129584,36.901794903374,36.94949606578,37.17618584557,37.182596079976,37.576560115052,37.579812243876,40.435387980986,40.448042810194,40.445068167304,40.461300193128,54.880106073238,58.358393898238,58.354106898238
"23","Chad","TCD",15,39.5801768510814,40.006185025331,39.9987997265806,39.9914144278302,39.9844578291512,39.9763580304008,39.9309641158178,39.8899669768492,39.8553672411982,39.8260216534584,39.803359241333,39.7832619910378,45.4863616373324,45.4703361433916,45.4569260269728,45.4458955522652,59.724715788911,59.720142988911,59.718285288911
"24","Chile","CHL",15,22.187966139348,22.146634920308,22.110917845284,36.35766935478,36.345924314292,36.532815297038,36.484831952265,36.4403813608798,36.3998044366138,36.341838937709,36.526555639834,36.505091341489,36.4818414626762,36.8870592756022,37.099586378703,37.2264567199,54.345609860426,54.288190013426,54.416705337426
"25","China","CHN",15,30.290223992,30.5153549039036,30.6755020662268,31.196055828684,31.315729342418,31.372732492,31.7791349747746,31.7885249810666,31.7742124626666,31.7993124104486,31.778453831,31.868596132755,34.690452692727,34.7366704396574,34.7040252345706,34.669913032,48.925294869,48.883713112,48.920330362
"26","Colombia","COL",15,20.868131566,20.863662602924,20.845841947554,20.82282864728,20.812169508164,35.274587039,35.5550694915696,35.9599760982868,36.3466625798428,36.7106512077116,36.741968093,38.0675805855064,38.1008352659352,38.2397647219292,38.2867719916664,38.752584038,53.25523687,53.734529876,53.709808176
"27","Costa Rica","CRI",15,36.675684719,36.9169848915762,37.2050055042238,37.4915847018,37.755388766162,38.001874780238,38.2591096453704,38.5010806811176,38.7516143191936,38.9913097391704,39.253526753762,39.5141078110676,48.3499548660444,48.6080750084064,48.8725694938676,49.129887816,63.677053555362,63.889525455438,66.9684621508
"28","Croatia","HRV",15,34.540082905,34.5665880297442,34.5731445547806,34.5892903331806,34.5950722669442,34.603998548,34.6754832983776,34.6849807907804,34.6946810704016,34.7038751793492,34.712629592,35.5553694180972,46.9949638446458,57.1032905566458,57.1000046500972,57.099754582,71.390122192,71.389693492,71.388836092
"29","Cuba","CUB",15,26.632935656,30.559124742824,30.839228914736,30.902423550736,30.962263922824,31.021267453,31.0666212502084,31.1078318446606,32.8761226688386,32.9242538191384,39.094058113,39.1445829235016,45.5314511830794,45.6301510853014,45.6866699119536,45.737703969,62.915064275,62.893629275,62.875766775
"30","Djibouti","DJI",15,12.34680425464,26.60036475464,26.56421105464,26.52205555464,26.48004295464,26.45503545464,26.42031075464,26.38487155464,26.35314775464,26.32056655464,26.29127205464,26.24897365464,31.93439185464,32.12342814364,32.08741734364,32.04268964364,32.01482414364,31.96923904364,31.92879834364
"31","Ecuador","ECU",15,22.571053367,36.77815570488,37.04434718332,36.97317709532,37.01928973388,36.946726827,36.863556858528,36.764411998464,36.676420138536,36.601359490472,37.041317128,36.95171901212,48.39587478568,48.30201992168,48.31024446712,48.219980963,65.269646962,65.615396276,65.598704284
"32","El Salvador","SLV",15,28.650212889,28.606352975,28.569066461,28.542211647,28.500495947,31.827081051,31.7850756177796,32.0338173604112,32.3329868692146,32.9789402742194,34.779286567,34.7958489993082,37.614963849998,37.578511059998,37.6361302853082,37.593964986,51.852511882,51.829076282,51.799781782
