,Country,CountryCode,SDG,Year,value_caled
1,Afghanistan,AFG,15_1_1,2000,0.14764268
2,Afghanistan,AFG,15_1_1,2001,0.14764268
3,Afghanistan,AFG,15_1_1,2002,0.14764268
4,Afghanistan,AFG,15_1_1,2003,0.14764268
5,Afghanistan,AFG,15_1_1,2004,0.14764268
6,Afghanistan,AFG,15_1_1,2005,0.14764268
7,Afghanistan,AFG,15_1_1,2006,0.14764268
8,Afghanistan,AFG,15_1_1,2007,0.14764268
9,Afghanistan,AFG,15_1_1,2008,0.14764268
10,Afghanistan,AFG,15_1_1,2009,0.14764268
11,Afghanistan,AFG,15_1_1,2010,0.14764268
12,Afghanistan,AFG,15_1_1,2011,0.14764268
13,Afghanistan,AFG,15_1_1,2012,0.14764268
14,Afghanistan,AFG,15_1_1,2013,0.14764268
15,Afghanistan,AFG,15_1_1,2014,0.14764268
16,Afghanistan,AFG,15_1_1,2015,0.14764268
17,Afghanistan,AFG,15_1_1,2016,0.14764268
18,Afghanistan,AFG,15_1_1,2017,0.14764268
19,Afghanistan,AFG,15_1_1,2018,0.14764268
20,Afghanistan,AFG,15_1_2_1,2000,0.004035528
21,Afghanistan,AFG,15_1_2_1,2001,0.004035528
22,Afghanistan,AFG,15_1_2_1,2002,0.004035528
23,Afghanistan,AFG,15_1_2_1,2003,0.004035528
24,Afghanistan,AFG,15_1_2_1,2004,0.004035528
25,Afghanistan,AFG,15_1_2_1,2005,0.004035528
26,Afghanistan,AFG,15_1_2_1,2006,0.004035528
27,Afghanistan,AFG,15_1_2_1,2007,0.004035528
28,Afghanistan,AFG,15_1_2_1,2008,0.004035528
29,Afghanistan,AFG,15_1_2_1,2009,0.004035528
30,Afghanistan,AFG,15_1_2_1,2010,0.004035528
31,Afghanistan,AFG,15_1_2_1,2011,0.004035528
32,Afghanistan,AFG,15_1_2_1,2012,0.004035528
33,Afghanistan,AFG,15_1_2_1,2013,0.004035528
34,Afghanistan,AFG,15_1_2_1,2014,0.004035528
35,Afghanistan,AFG,15_1_2_1,2015,0.004035528
36,Afghanistan,AFG,15_1_2_1,2016,0.004035528
37,Afghanistan,AFG,15_1_2_1,2017,0.004035528
38,Afghanistan,AFG,15_1_2_1,2018,0.004035528
39,Afghanistan,AFG,15_1_2_2,2000,0.001513323
40,Afghanistan,AFG,15_1_2_2,2001,0.001513323
41,Afghanistan,AFG,15_1_2_2,2002,0.001513323
42,Afghanistan,AFG,15_1_2_2,2003,0.001513323
43,Afghanistan,AFG,15_1_2_2,2004,0.001513323
