Entity,Code,Year,"14.1.1 - Chlorophyll-a deviations, remote sensing (%) - EN_MAR_CHLDEV"
Africa,,2000,3.02
Africa,,2001,3.14
Africa,,2002,6.64
Africa,,2003,7.88
Africa,,2004,5.91
Africa,,2005,5.45
Africa,,2006,6.8
Africa,,2007,5.25
Africa,,2008,5.9
Africa,,2009,5.53
Africa,,2010,5.22
Africa,,2011,3.3
Africa,,2012,3.42
Africa,,2013,5.38
Africa,,2015,4
Africa,,2016,2.28
Africa,,2017,2.95
Africa,,2018,4.08
Africa,,2019,2.57
Albania,ALB,2001,6.61
Albania,ALB,2002,10.14
Albania,ALB,2003,0.4
Albania,ALB,2004,19.18
Albania,ALB,2005,6.75
Albania,ALB,2006,4.5
Albania,ALB,2007,7.14
Albania,ALB,2008,14.68
Albania,ALB,2009,6.19
Albania,ALB,2010,21.08
Albania,ALB,2011,14.02
Albania,ALB,2012,6.35
Albania,ALB,2013,3.97
Albania,ALB,2014,2.65
Albania,ALB,2015,4.32
Albania,ALB,2016,1.59
Albania,ALB,2018,4.5
Algeria,DZA,2000,1.09
Algeria,DZA,2001,3.1
Algeria,DZA,2002,8.05
Algeria,DZA,2003,0.44
Algeria,DZA,2004,2.66
Algeria,DZA,2005,5.58
Algeria,DZA,2006,5.11
Algeria,DZA,2007,6.12
Algeria,DZA,2008,0.62
Algeria,DZA,2009,5.54
Algeria,DZA,2010,3.6
Algeria,DZA,2011,0.23
Algeria,DZA,2012,1.51
Algeria,DZA,2013,21.84
Algeria,DZA,2014,24.48
Algeria,DZA,2015,3.9
Algeria,DZA,2016,1.32
Algeria,DZA,2017,0.97
Algeria,DZA,2018,5
Algeria,DZA,2019,1.42
American Samoa,ASM,2000,0.32
American Samoa,ASM,2001,0.88
American Samoa,ASM,2002,2.5
American Samoa,ASM,2003,7.69
American Samoa,ASM,2004,3.44
American Samoa,ASM,2005,0.58
American Samoa,ASM,2006,0.66
American Samoa,ASM,2007,2.41
American Samoa,ASM,2008,3
American Samoa,ASM,2009,1.86
American Samoa,ASM,2010,0.69
American Samoa,ASM,2011,5.75
American Samoa,ASM,2012,0.7
American Samoa,ASM,2013,0.06
American Samoa,ASM,2014,1.65
American Samoa,ASM,2015,3.11
American Samoa,ASM,2016,2.17
American Samoa,ASM,2017,1.1
American Samoa,ASM,2018,3.4
American Samoa,ASM,2019,5.6
Americas,,2000,2.84
Americas,,2001,3.66
Americas,,2002,4.59
Americas,,2003,5.33
Americas,,2004,3.91
Americas,,2005,3.67
Americas,,2006,3.48
Americas,,2007,3.82
Americas,,2008,4.52
Americas,,2009,4.02
Americas,,2010,4.49
Americas,,2011,4.18
Americas,,2012,3.19
Americas,,2013,3.66
Americas,,2014,3.74
Americas,,2015,2.81
Americas,,2016,3.46
Americas,,2017,3.41
Americas,,2018,2.72
Americas,,2019,3.05
Angola,AGO,2000,3.4
Angola,AGO,2001,8.63
Angola,AGO,2002,12.51
Angola,AGO,2003,8.58
Angola,AGO,2004,14.58
Angola,AGO,2005,11.08
Angola,AGO,2006,7.67
Angola,AGO,2007,6.13
Angola,AGO,2008,6.5
Angola,AGO,2009,5.88
Angola,AGO,2010,5.68
Angola,AGO,2011,8.75
Angola,AGO,2012,3.28
Angola,AGO,2013,3.26
Angola,AGO,2014,4.08
Angola,AGO,2015,6.11
Angola,AGO,2016,4.68
Angola,AGO,2017,2.73
Angola,AGO,2018,3.61
Angola,AGO,2019,1.66
Anguilla,AIA,2000,2.13
Anguilla,AIA,2001,1.79
Anguilla,AIA,2002,2.93
Anguilla,AIA,2003,1.42
Anguilla,AIA,2004,6.65
Anguilla,AIA,2005,0.42
Anguilla,AIA,2006,0.04
Anguilla,AIA,2007,10.35
Anguilla,AIA,2008,0.03
Anguilla,AIA,2009,18.59
Anguilla,AIA,2010,8.25
Anguilla,AIA,2011,0.02
Anguilla,AIA,2012,0.02
Anguilla,AIA,2013,1.36
Anguilla,AIA,2014,0.02
Anguilla,AIA,2015,1.53
Anguilla,AIA,2016,0.34
Anguilla,AIA,2017,0.98
Anguilla,AIA,2018,0.64
Anguilla,AIA,2019,0.33
Antigua and Barbuda,ATG,2000,1.21
Antigua and Barbuda,ATG,2001,2.8
Antigua and Barbuda,ATG,2002,2.98
Antigua and Barbuda,ATG,2003,16
Antigua and Barbuda,ATG,2004,8.12
Antigua and Barbuda,ATG,2005,0.03
Antigua and Barbuda,ATG,2006,0.02
Antigua and Barbuda,ATG,2007,16.95
Antigua and Barbuda,ATG,2008,0.03
Antigua and Barbuda,ATG,2009,12.87
Antigua and Barbuda,ATG,2010,9.71
Antigua and Barbuda,ATG,2012,0.03
Antigua and Barbuda,ATG,2013,1.81
Antigua and Barbuda,ATG,2014,1.26
Antigua and Barbuda,ATG,2015,1.88
Antigua and Barbuda,ATG,2016,0.91
Antigua and Barbuda,ATG,2017,1.33
Antigua and Barbuda,ATG,2018,0.04
Antigua and Barbuda,ATG,2019,1.89
Argentina,ARG,2000,3.04
Argentina,ARG,2001,6.14
Argentina,ARG,2002,8.4
Argentina,ARG,2003,14.8
Argentina,ARG,2004,7.16
Argentina,ARG,2005,5.5
Argentina,ARG,2006,4.43
Argentina,ARG,2007,5.51
Argentina,ARG,2008,7.87
Argentina,ARG,2009,6.32
Argentina,ARG,2010,8.18
Argentina,ARG,2011,9.02
Argentina,ARG,2012,10.23
Argentina,ARG,2013,6
Argentina,ARG,2014,9.03
Argentina,ARG,2015,4.73
Argentina,ARG,2016,10.7
Argentina,ARG,2017,9.36
Argentina,ARG,2018,4.56
Argentina,ARG,2019,6.16
Aruba,ABW,2000,3.36
Aruba,ABW,2001,0.76
Aruba,ABW,2002,0.97
Aruba,ABW,2003,16.13
Aruba,ABW,2004,1.08
Aruba,ABW,2005,1.26
Aruba,ABW,2006,3.59
Aruba,ABW,2007,0.19
Aruba,ABW,2008,0.32
Aruba,ABW,2009,16.58
Aruba,ABW,2010,4.94
Aruba,ABW,2011,0.08
Aruba,ABW,2012,1.47
Aruba,ABW,2013,0.4
Aruba,ABW,2014,1.6
Aruba,ABW,2015,2.23
