Entity,Code,Year,14.2.1 - Number of countries using ecosystem-based approaches to managing marine areas (1 = YES; 0 = NO) - EN_SCP_ECSYBA - Implementation and adaptive management
Belize,BLZ,2016,1
Bulgaria,BGR,2021,1
Cambodia,KHM,2021,1
Cayman Islands,CYM,2021,1
China,CHN,2021,1
Colombia,COL,2020,1
Denmark,DNK,2021,1
Finland,FIN,2020,1
Germany,DEU,2021,1
Indonesia,IDN,2021,1
Jamaica,JAM,2021,1
Lithuania,LTU,2021,1
Malaysia,MYS,2021,1
Philippines,PHL,2021,1
Singapore,SGP,2021,1
South Korea,KOR,2021,1
Thailand,THA,2021,1
Vietnam,VNM,2021,1
