Entity,Code,Year,"14.6.1 - Progress by countries in the degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing (level of implementation: 1 lowest to 5 highest) - ER_REG_UNFCIM"
Africa,,2018,4
Africa,,2020,4
Africa,,2022,3
Albania,ALB,2018,3
Albania,ALB,2020,5
Albania,ALB,2022,5
Americas,,2018,3
Americas,,2020,4
Americas,,2022,4
Angola,AGO,2020,3
Antigua and Barbuda,ATG,2018,3
Antigua and Barbuda,ATG,2022,3
Argentina,ARG,2018,3
Argentina,ARG,2020,3
Asia,,2018,4
Asia,,2020,4
Asia,,2022,4
Australia,AUS,2018,5
Australia,AUS,2020,5
Australia,AUS,2022,5
Australia and New Zealand,,2018,5
Australia and New Zealand,,2020,5
Austria,AUT,2018,5
Austria,AUT,2020,5
Austria,AUT,2022,5
Bahamas,BHS,2018,4
Bangladesh,BGD,2018,3
Bangladesh,BGD,2022,3
Belarus,BLR,2020,4
Belgium,BEL,2018,5
Belgium,BEL,2020,5
Belgium,BEL,2022,5
Belize,BLZ,2018,4
Belize,BLZ,2020,3
Belize,BLZ,2022,4
Benin,BEN,2018,5
Bosnia and Herzegovina,BIH,2022,1
Brazil,BRA,2022,3
Bulgaria,BGR,2018,5
Bulgaria,BGR,2020,5
Bulgaria,BGR,2022,5
Burkina Faso,BFA,2018,1
Cameroon,CMR,2018,1
Canada,CAN,2018,5
Canada,CAN,2022,5
Cape Verde,CPV,2018,4
Cape Verde,CPV,2020,5
Cape Verde,CPV,2022,4
Caribbean,,2018,3
Caribbean,,2020,3
Caribbean,,2022,4
Caucasus and Central Asia,,2018,2
Central America,,2018,3
Central America,,2020,5
Central America,,2022,4
Central Asia,,2018,2
Central and Southern Asia,,2018,3
Central and Southern Asia,,2020,4
Central and Southern Asia,,2022,3
Chile,CHL,2018,5
Chile,CHL,2020,5
Chile,CHL,2022,5
China,CHN,2020,4
China,CHN,2022,3
Colombia,COL,2022,3
Congo,COG,2022,1
Cook Islands,COK,2022,4
Costa Rica,CRI,2020,4
Costa Rica,CRI,2022,5
Cote d'Ivoire,CIV,2018,4
Cote d'Ivoire,CIV,2020,4
Cote d'Ivoire,CIV,2022,4
Croatia,HRV,2018,5
Croatia,HRV,2020,5
Croatia,HRV,2022,5
Cuba,CUB,2018,5
Cuba,CUB,2020,5
Cuba,CUB,2022,4
Cyprus,CYP,2018,5
Cyprus,CYP,2020,5
Cyprus,CYP,2022,5
Czechia,CZE,2018,5
Czechia,CZE,2020,5
Czechia,CZE,2022,5
Denmark,DNK,2018,5
Denmark,DNK,2020,5
Denmark,DNK,2022,5
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2018,5
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2020,5
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2022,5
Developing regions,,2018,4
Developing regions,,2020,4
Developing regions,,2022,4
Dominican Republic,DOM,2018,3
Dominican Republic,DOM,2022,4
Eastern Africa,,2018,4
Eastern Africa,,2022,3
Eastern Asia,,2018,5
Eastern Asia,,2020,5
Eastern Asia,,2022,4
Eastern Asia (excluding Japan and China),,2018,5
Eastern Asia (excluding Japan),,2018,5
Eastern Europe,,2018,5
Eastern Europe,,2020,5
Eastern Europe,,2022,5
Eastern and South-Eastern Asia,,2018,4
Eastern and South-Eastern Asia,,2020,5
Eastern and South-Eastern Asia,,2022,4
Ecuador,ECU,2018,4
Ecuador,ECU,2020,5
Ecuador,ECU,2022,5
El Salvador,SLV,2018,3
El Salvador,SLV,2022,3
Equatorial Guinea,GNQ,2020,5
Equatorial Guinea,GNQ,2022,3
Eritrea,ERI,2020,2
Eritrea,ERI,2022,2
Estonia,EST,2018,5
Estonia,EST,2020,5
Estonia,EST,2022,5
Europe,,2018,5
Europe,,2020,5
Europe,,2022,5
Europe and Northern America,,2018,5
Europe and Northern America,,2020,5
Europe and Northern America,,2022,5
Faeroe Islands,FRO,2018,5
Faeroe Islands,FRO,2022,5
Fiji,FJI,2018,5
Finland,FIN,2018,5
Finland,FIN,2022,5
France,FRA,2018,5
France,FRA,2020,5
France,FRA,2022,5
Gambia,GMB,2018,3
Georgia,GEO,2018,2
Georgia,GEO,2020,3
Germany,DEU,2018,5
Germany,DEU,2020,5
Germany,DEU,2022,5
Ghana,GHA,2018,4
Ghana,GHA,2022,5
Greece,GRC,2018,5
Greece,GRC,2020,5
Greece,GRC,2022,5
Guatemala,GTM,2018,4
Guatemala,GTM,2020,4
Guatemala,GTM,2022,2
Guinea,GIN,2018,5
Guyana,GUY,2018,2
Guyana,GUY,2022,2
Honduras,HND,2018,3
Honduras,HND,2020,4
Honduras,HND,2022,4
Hungary,HUN,2018,5
Hungary,HUN,2020,5
Hungary,HUN,2022,5
Iceland,ISL,2018,5
Iceland,ISL,2022,4
India,IND,2020,4
India,IND,2022,4
Indonesia,IDN,2018,4
Indonesia,IDN,2022,5
Iran,IRN,2018,3
Ireland,IRL,2018,5
Ireland,IRL,2020,5
Ireland,IRL,2022,5
Italy,ITA,2018,5
Italy,ITA,2022,5
Jamaica,JAM,2018,2
Jamaica,JAM,2020,2
Japan,JPN,2018,5
Japan,JPN,2020,5
Japan,JPN,2022,5
Kenya,KEN,2020,3
Kiribati,KIR,2020,1
Kuwait,KWT,2022,1
Kyrgyzstan,KGZ,2018,1
Landlocked developing countries (LLDCs),,2018,2
Landlocked developing countries (LLDCs),,2020,3
Latin America and the Caribbean,,2018,3
Latin America and the Caribbean,,2020,4
Latin America and the Caribbean,,2022,4
Latvia,LVA,2018,5
Latvia,LVA,2020,5
Latvia,LVA,2022,5
Least developed countries (LDCs),,2018,3
Least developed countries (LDCs),,2020,3
Least developed countries (LDCs),,2022,3
Lebanon,LBN,2018,1
Lebanon,LBN,2020,1
Libya,LBY,2018,2
Lithuania,LTU,2018,5
Lithuania,LTU,2020,5
Lithuania,LTU,2022,5
Luxembourg,LUX,2018,5
Luxembourg,LUX,2022,5
Madagascar,MDG,2018,4
Madagascar,MDG,2020,3
Malawi,MWI,2018,2
Malawi,MWI,2020,2
Malaysia,MYS,2018,3
Malaysia,MYS,2022,3
Maldives,MDV,2018,3
Maldives,MDV,2020,5
Mali,MLI,2018,1
Mali,MLI,2020,1
Malta,MLT,2018,5
Malta,MLT,2020,5
Malta,MLT,2022,5
Marshall Islands,MHL,2022,4
Mauritania,MRT,2018,4
Mauritius,MUS,2020,5
Mauritius,MUS,2022,5
Melanesia,OWID_MNS,2018,5
Mexico,MEX,2018,4
Mexico,MEX,2020,4
Mexico,MEX,2022,4
Micronesia (country),FSM,2018,4
Micronesia (country),FSM,2020,2
Micronesia (country),FSM,2022,4
Middle Africa,,2018,2
Middle Africa,,2020,4
Middle Africa,,2022,2
Montenegro,MNE,2020,4
Montenegro,MNE,2022,4
Morocco,MAR,2018,5
Morocco,MAR,2020,5
Myanmar,MMR,2018,3
Myanmar,MMR,2020,5
Namibia,NAM,2018,5
Namibia,NAM,2020,4
Nauru,NRU,2020,5
Nauru,NRU,2022,3
Netherlands,NLD,2018,5
Netherlands,NLD,2020,5
Netherlands,NLD,2022,5
New Zealand,NZL,2018,5
New Zealand,NZL,2020,5
Nicaragua,NIC,2018,3
Nicaragua,NIC,2022,4
