Entity,Code,Year,14.7.1 - Sustainable fisheries as a proportion of GDP - EN_SCP_FSHGDP
Angola,AGO,2011,0.832305246684834
Angola,AGO,2013,1.16900297712681
Angola,AGO,2015,2.11866756896712
Angola,AGO,2017,2.3746993586284
Anguilla,AIA,2011,1.12184784637321
Anguilla,AIA,2013,0.954608498977126
Anguilla,AIA,2015,1.02509509972895
Anguilla,AIA,2019,1.27716315978771
Antigua and Barbuda,ATG,2011,0.604390552362306
Antigua and Barbuda,ATG,2013,0.60030362681226
Antigua and Barbuda,ATG,2015,0.516573934471154
Antigua and Barbuda,ATG,2019,0.582285655527209
Argentina,ARG,2011,0.0728032981584653
Argentina,ARG,2013,0.113620653331029
Argentina,ARG,2015,0.093399517920124
Argentina,ARG,2017,0.11685592499869
Argentina,ARG,2019,0.205930752365089
Australia and New Zealand,,2011,0.501708035931935
Australia and New Zealand,,2013,0.556866633609965
Australia and New Zealand,,2015,0.577611468700002
Australia and New Zealand,,2017,0.566066097221831
Bahamas,BHS,2011,0.84384
Bahamas,BHS,2013,0.429522977930631
Bahamas,BHS,2015,0.429462647180001
Bahrain,BHR,2011,0.0683830342496225
Bahrain,BHR,2013,0.05764996206592
Bahrain,BHR,2015,0.0587149325386612
Bahrain,BHR,2017,0.0638780510224511
Bahrain,BHR,2019,0.0564846932714199
Bangladesh,BGD,2011,0.487991127622056
Bangladesh,BGD,2013,0.451828338951142
Bangladesh,BGD,2015,0.375484017171113
Bangladesh,BGD,2017,0.319331690879452
Bangladesh,BGD,2019,0.287181016552496
Barbados,BRB,2011,0.0534019165380319
Barbados,BRB,2013,0.098698944174269
Barbados,BRB,2015,0.0650229263855019
Barbados,BRB,2017,0.0899240295139425
Barbados,BRB,2019,0.0353039803338188
Belgium,BEL,2011,0.0100660756844888
Belgium,BEL,2013,0.00841503331699
Belgium,BEL,2015,0.008743136473687
Belgium,BEL,2017,0.0091512772891666
Belgium,BEL,2019,0.0069196011022919
Belize,BLZ,2011,0.943864788025393
Belize,BLZ,2013,1.43292683137273
Belize,BLZ,2015,1.25698992462526
Belize,BLZ,2017,0.603990718003491
Belize,BLZ,2019,0.640508599871566
Benin,BEN,2011,0.12336
Benin,BEN,2013,0.25479
Benin,BEN,2015,0.186670238959189
Benin,BEN,2017,0.106507267837057
Benin,BEN,2019,0.220529446059302
Bermuda,BMU,2011,0.114798571891202
Bermuda,BMU,2013,0.0729876781895941
Bermuda,BMU,2015,0.0382061721354382
Bermuda,BMU,2017,0.0695542313259927
Bermuda,BMU,2019,0.0462949851238216
Brunei,BRN,2011,0.126410056095851
Brunei,BRN,2013,0.163904039804391
Brunei,BRN,2015,0.265003212871053
Brunei,BRN,2017,0.263771854130087
Brunei,BRN,2019,0.240411586904454
Bulgaria,BGR,2011,0.007484358127428
Bulgaria,BGR,2013,0.0063273604311219
Bulgaria,BGR,2015,0.0068382741328916
Bulgaria,BGR,2017,0.0058111987433187
Bulgaria,BGR,2019,0.0055289084367886
Cambodia,KHM,2011,1.12772205874938
Cambodia,KHM,2013,0.827824932163689
Cambodia,KHM,2015,0.784699903657389
Cambodia,KHM,2017,0.671284335468722
Cambodia,KHM,2019,0.568398760793804
Cameroon,CMR,2011,0.128362877137526
Cameroon,CMR,2013,0.144935913816142
Cameroon,CMR,2015,0.168787780970182
Cameroon,CMR,2017,0.183255858774326
Cameroon,CMR,2019,0.172443721853677
Canada,CAN,2011,0.0539188277085353
Canada,CAN,2013,0.0404316812347241
Canada,CAN,2015,0.0580336918665437
Canada,CAN,2017,0.0548921438056652
Cape Verde,CPV,2011,0.355796284084203
Cape Verde,CPV,2013,0.464165762349636
Cape Verde,CPV,2015,0.673886683993124
Cape Verde,CPV,2017,0.383813700582771
Cape Verde,CPV,2019,0.333156268321501
Cayman Islands,CYM,2011,0.0187564601210353
Cayman Islands,CYM,2013,0.015052958578568
Cayman Islands,CYM,2015,0.023501439437028
Cayman Islands,CYM,2017,0.0313547428662385
Cayman Islands,CYM,2019,0.03535253891786
Central and Southern Asia,,2011,0.24645211021072
Central and Southern Asia,,2013,0.249130962221482
Central and Southern Asia,,2015,0.245947545997784
Central and Southern Asia,,2017,0.246704757946391
Central and Southern Asia,,2019,0.207821733339337
Chile,CHL,2011,0.284493739360435
Chile,CHL,2013,0.167962934784666
Chile,CHL,2015,0.0914120668254559
Chile,CHL,2017,0.191298937471355
Chile,CHL,2018,0.10696
Chile,CHL,2019,0.126545060822248
Colombia,COL,2011,0.035608988118939
Colombia,COL,2013,0.0293860923619059
Colombia,COL,2015,0.033724659363597
Colombia,COL,2017,0.0312415134774426
Colombia,COL,2019,0.0268051367751472
Comoros,COM,2011,4.58874860943988
Comoros,COM,2013,4.49866425654057
Comoros,COM,2015,5.46230452027717
Comoros,COM,2017,6.75217225837939
Comoros,COM,2019,7.15436016226345
Congo,COG,2011,0.208523152467535
