Entity,Code,Year,14.a.1 - National ocean science expenditure as a share of total research and development funding (%) - ER_RDE_OSEX
Belgium,BEL,2013,0.37339
Belgium,BEL,2014,0.35534
Belgium,BEL,2015,0.29857
Belgium,BEL,2016,0.28028
Belgium,BEL,2017,0.26589
Brazil,BRA,2013,0.068
Brazil,BRA,2014,0.04726
Brazil,BRA,2015,0.02374
Brazil,BRA,2016,0.03733
Brazil,BRA,2017,0.03639
Bulgaria,BGR,2013,0.0869
Bulgaria,BGR,2014,0.06631
Bulgaria,BGR,2015,0.04895
Bulgaria,BGR,2016,0.05712
Bulgaria,BGR,2017,0.06366
Canada,CAN,2013,0.88456
Canada,CAN,2014,0.78075
Canada,CAN,2015,0.6991
Canada,CAN,2016,0.66731
Canada,CAN,2017,0.80792
Colombia,COL,2013,0.11202
Colombia,COL,2014,0.1637
Colombia,COL,2015,0.11677
Colombia,COL,2016,0.0888
Colombia,COL,2017,0.08323
Croatia,HRV,2013,2.92606
Democratic Republic of Congo,COD,2015,1.11993
Ecuador,ECU,2013,2.68197
Ecuador,ECU,2014,2.52955
Finland,FIN,2013,0.31524
Finland,FIN,2014,0.33874
Finland,FIN,2015,0.30814
Finland,FIN,2016,0.31978
Finland,FIN,2017,0.31646
France,FRA,2017,0.52954
Germany,DEU,2013,0.3217
Germany,DEU,2014,0.30502
Germany,DEU,2015,0.24607
Germany,DEU,2016,0.25098
Germany,DEU,2017,0.24542
India,IND,2013,0.26906
Iran,IRN,2015,1.42179
Iran,IRN,2017,0.63322
Ireland,IRL,2017,4.80811
Italy,ITA,2013,0.36694
Italy,ITA,2014,0.35486
Italy,ITA,2015,0.30667
Italy,ITA,2016,0.30592
Italy,ITA,2017,0.194
Japan,JPN,2013,0.82353
Japan,JPN,2014,0.35975
Japan,JPN,2015,0.45281
Japan,JPN,2016,0.38686
Japan,JPN,2017,0.32965
Kuwait,KWT,2017,0.97046
Madagascar,MDG,2014,0.32066
Madagascar,MDG,2016,0.30111
Madagascar,MDG,2017,0.29088
Mauritius,MUS,2017,0.90417
Mozambique,MOZ,2015,5.76922
Netherlands,NLD,2013,0.24938
Netherlands,NLD,2014,0.2361
Netherlands,NLD,2015,0.20488
Netherlands,NLD,2016,0.21217
Netherlands,NLD,2017,0.23503
Norway,NOR,2013,6.98989
Norway,NOR,2015,5.60533
Norway,NOR,2017,5.35469
Oman,OMN,2013,5.04572
Oman,OMN,2014,4.01584
Oman,OMN,2015,3.36762
Oman,OMN,2016,3.19238
Oman,OMN,2017,3.79217
Peru,PER,2013,9.50057
Peru,PER,2014,8.57239
Peru,PER,2015,6.78805
Peru,PER,2016,5.81456
Poland,POL,2013,0.17224
Poland,POL,2014,0.18258
Poland,POL,2015,0.12176
Poland,POL,2016,0.1196
Poland,POL,2017,0.11541
Portugal,PRT,2014,2.20526
Portugal,PRT,2015,2.50724
Portugal,PRT,2016,2.39374
Russia,RUS,2013,0.13484
Russia,RUS,2014,0.14774
Russia,RUS,2016,0.10333
Russia,RUS,2017,0.14042
South Africa,ZAF,2017,2.35462
South Korea,KOR,2013,0.4096
South Korea,KOR,2014,0.37052
South Korea,KOR,2015,0.33064
South Korea,KOR,2016,0.31798
South Korea,KOR,2017,0.25362
Spain,ESP,2016,0.49478
Spain,ESP,2017,0.45241
Turkey,TUR,2013,0.07806
Turkey,TUR,2014,0.08081
Turkey,TUR,2015,0.05074
Turkey,TUR,2016,0.04463
Turkey,TUR,2017,0.03682
United Kingdom,GBR,2013,0.66732
United Kingdom,GBR,2014,0.55823
United Kingdom,GBR,2015,0.49393
United Kingdom,GBR,2016,0.5444
United Kingdom,GBR,2017,0.61253
United States,USA,2013,2.74433
United States,USA,2014,2.58866
United States,USA,2015,2.4622
United States,USA,2016,2.41503
World,OWID_WRL,2013,1.60097
World,OWID_WRL,2014,1.17048
World,OWID_WRL,2015,1.49465
World,OWID_WRL,2016,0.87372
World,OWID_WRL,2017,0.95307
