"","Entity","Code","SDG","Year","value","value_norm"
"1","Albania","ALB","14_1_1_1",2018,1284797,0.354140964550945
"2","Algeria","DZA","14_1_1_1",2015,34285714,0.0996869134435546
"3","Algeria","DZA","14_1_1_1",2016,39450549,0.0888149900971227
"4","Algeria","DZA","14_1_1_1",2018,2485,0.838242102489034
"11","Argentina","ARG","14_1_1_1",2015,5832512,0.236925662020271
"12","Argentina","ARG","14_1_1_1",2016,490427,0.428760314001754
"13","Argentina","ARG","14_1_1_1",2017,3788199,0.270362679260947
"14","Argentina","ARG","14_1_1_1",2018,6801203,0.225020735144507
"21","Australia","AUS","14_1_1_1",2015,1514,0.876634770196445
"22","Australia","AUS","14_1_1_1",2016,7202,0.7557967723168
"23","Australia","AUS","14_1_1_1",2017,210440,0.494314223155917
"24","Australia","AUS","14_1_1_1",2018,140982,0.525350236165586
"29","Austria","AUT","14_1_1_1",2017,148483,0.52133381147035
"30","Azerbaijan","AZE","14_1_1_1",2016,59891,0.59168127812184
"31","Azerbaijan","AZE","14_1_1_1",2018,249169,0.481225474174601
"32","Bahamas","BHS","14_1_1_1",2016,101987,0.550437224083445
"33","Bahamas","BHS","14_1_1_1",2017,418691,0.441013244871523
"34","Bahamas","BHS","14_1_1_1",2018,498357,0.42751751655214
"35","Bangladesh","BGD","14_1_1_1",2016,146784466,0
"36","Bangladesh","BGD","14_1_1_1",2017,5784746,0.237562805102407
"37","Bangladesh","BGD","14_1_1_1",2018,4008336,0.265986187187978
"38","Barbados","BRB","14_1_1_1",2016,1150075,0.362723694495486
"39","Barbados","BRB","14_1_1_1",2017,2376585,0.306485852565272
"40","Barbados","BRB","14_1_1_1",2018,2485,0.838242102489034
"41","Belgium","BEL","14_1_1_1",2015,15202899,0.162696905771489
"42","Belgium","BEL","14_1_1_1",2016,270451,0.474875252593748
"43","Belgium","BEL","14_1_1_1",2017,227316,0.488337378322344
"44","Belgium","BEL","14_1_1_1",2018,19152,0.680017639895909
"45","Belgium","BEL","14_1_1_1",2019,664536,0.405220930281808
"46","Belize","BLZ","14_1_1_1",2016,1602169,0.337036677876979
"47","Belize","BLZ","14_1_1_1",2017,988723,0.374436199869806
"48","Belize","BLZ","14_1_1_1",2018,1180478,0.360702065868375
"49","Bermuda","BMU","14_1_1_1",2016,484916,0.429635896246555
"50","Bermuda","BMU","14_1_1_1",2017,1806490,0.327736961853886
"51","Bermuda","BMU","14_1_1_1",2018,897788,0.381911484179018
"52","Bonaire Sint Eustatius and Saba","BES","14_1_1_1",2017,152058,0.519490443280639
"53","Bonaire Sint Eustatius and Saba","BES","14_1_1_1",2018,2743364,0.295365906341649
"54","Bosnia and Herzegovina","BIH","14_1_1_1",2016,1428111,0.345947316314873
"55","Brazil","BRA","14_1_1_1",2015,5410680,0.242742314063317
"56","Brazil","BRA","14_1_1_1",2016,1563746,0.338917434627923
"57","Brazil","BRA","14_1_1_1",2017,1792397,0.328343777466392
"58","Brazil","BRA","14_1_1_1",2018,507292,0.426140691233534
"59","Brazil","BRA","14_1_1_1",2019,4741,0.78819196381956
"60","British Virgin Islands","VGB","14_1_1_1",2016,2476880,0.303283209824192
"61","British Virgin Islands","VGB","14_1_1_1",2017,2499565,0.302576824174293
"62","Brunei","BRN","14_1_1_1",2016,796452,0.391191031906848
"63","Brunei","BRN","14_1_1_1",2017,204454,0.496550105673006
"64","Brunei","BRN","14_1_1_1",2018,88928,0.561053394122763
"65","Bulgaria","BGR","14_1_1_1",2015,231936,0.486778454638906
"66","Bulgaria","BGR","14_1_1_1",2016,192462,0.501233324979305
"67","Bulgaria","BGR","14_1_1_1",2017,2292929,0.309262310948704
"68","Bulgaria","BGR","14_1_1_1",2018,2618936,0.298962275484278
"69","Bulgaria","BGR","14_1_1_1",2019,2589610,0.299834764966461
"70","Bulgaria","BGR","14_1_1_1",2020,2159091,0.313922166964403
"71","Cambodia","KHM","14_1_1_1",2016,2909923,0.290799105598375
"72","Cambodia","KHM","14_1_1_1",2017,6435405,0.229304193008346
"73","Cambodia","KHM","14_1_1_1",2018,5243328,0.24517660731963
"74","Cameroon","CMR","14_1_1_1",2018,84679624,0.0296337148463892
"75","Canada","CAN","14_1_1_1",2015,1525,0.876073873132637
"76","Canada","CAN","14_1_1_1",2016,194241,0.500520437880289
"77","Canada","CAN","14_1_1_1",2017,333327,0.458679383589153
"78","Canada","CAN","14_1_1_1",2018,328376,0.459838847437795
"79","Cape Verde","CPV","14_1_1_1",2018,164926,0.51319637089559
"83","Cayman Islands","CYM","14_1_1_1",2016,3348055,0.279932314347711
"84","Cayman Islands","CYM","14_1_1_1",2017,1209102,0.358845763123992
"85","Cayman Islands","CYM","14_1_1_1",2018,231898,0.486791149860979
"94","Chile","CHL","14_1_1_1",2015,791304,0.391693461929055
"95","Chile","CHL","14_1_1_1",2016,703401,0.4008171184243
"96","Chile","CHL","14_1_1_1",2017,1295306,0.353509795006601
"97","Chile","CHL","14_1_1_1",2018,3741895,0.271315569483278
"98","China","CHN","14_1_1_1",2015,14219138,0.167880107019985
"99","China","CHN","14_1_1_1",2016,114916,0.541189522461397
"100","China","CHN","14_1_1_1",2017,278760,0.472530689336387
"101","China","CHN","14_1_1_1",2018,134588,0.528946387303689
"102","Colombia","COL","14_1_1_1",2016,46909860,0.0753970195341411
"103","Colombia","COL","14_1_1_1",2017,4037824,0.265418279323779
"104","Colombia","COL","14_1_1_1",2018,426619,0.439559863284143
"105","Costa Rica","CRI","14_1_1_1",2015,13522727,0.17177092133419
"106","Costa Rica","CRI","14_1_1_1",2016,2798832,0.293814968429385
"107","Costa Rica","CRI","14_1_1_1",2017,2260980,0.310349485635056
"108","Costa Rica","CRI","14_1_1_1",2018,1672656,0.333700821881213
"109","Cote d'Ivoire","CIV","14_1_1_1",2018,10022,0.730195546702201
"110","Croatia","HRV","14_1_1_1",2015,45382353,0.0779619588472265
"111","Croatia","HRV","14_1_1_1",2016,429252,0.439083143470259
"112","Croatia","HRV","14_1_1_1",2019,55350,0.597790539368299
"113","Cuba","CUB","14_1_1_1",2016,631356,0.409189388272264
"114","Cuba","CUB","14_1_1_1",2017,6047124,0.234125923932311
"115","Curacao","CUW","14_1_1_1",2018,1930486,0.322593374627478
"116","Cyprus","CYP","14_1_1_1",2015,380500,0.448423968951962
"117","Cyprus","CYP","14_1_1_1",2016,1230420,0.357491596646024
"118","Cyprus","CYP","14_1_1_1",2017,4879745,0.250744583040816
"119","Cyprus","CYP","14_1_1_1",2018,4901154,0.250405397300146
"120","Cyprus","CYP","14_1_1_1",2020,18794702,0.146264270926383
"121","Czechia","CZE","14_1_1_1",2017,137315,0.527392194171455
"122","Czechia","CZE","14_1_1_1",2018,10974,0.723164539290101
"123","Denmark","DNK","14_1_1_1",2015,128986,0.532240399702769
"124","Denmark","DNK","14_1_1_1",2016,196139,0.499767027923775
"125","Denmark","DNK","14_1_1_1",2017,63905,0.586655048717891
"126","Denmark","DNK","14_1_1_1",2018,208071,0.495191389796675
"127","Denmark","DNK","14_1_1_1",2019,249039,0.481265908662766
"128","Denmark","DNK","14_1_1_1",2020,197792,0.499116786655678
"129","Dominican Republic","DOM","14_1_1_1",2015,92395,0.558090110884229
"130","Dominican Republic","DOM","14_1_1_1",2016,3779883,0.270532953171903
"131","Dominican Republic","DOM","14_1_1_1",2017,5244173,0.245164121875964
"132","Dominican Republic","DOM","14_1_1_1",2018,4872620,0.250857795515491
"149","Ecuador","ECU","14_1_1_1",2016,891574,0.382449622685958
"150","Ecuador","ECU","14_1_1_1",2017,904248,0.381355976329049
"151","Ecuador","ECU","14_1_1_1",2018,740644,0.39681970069191
"152","Egypt","EGY","14_1_1_1",2016,99219,0.552569148694761
"153","Egypt","EGY","14_1_1_1",2018,2485,0.838242102489034
"154","El Salvador","SLV","14_1_1_1",2018,13670,0.706144147502831
"155","Estonia","EST","14_1_1_1",2017,1058452,0.369156055624845
"156","Ethiopia","ETH","14_1_1_1",2018,2485,0.838242102489034
"168","Fiji","FJI","14_1_1_1",2017,134314,0.529104285062455
"169","Fiji","FJI","14_1_1_1",2018,815795,0.389331805076422
"170","Finland","FIN","14_1_1_1",2017,21726,0.67024722149327
"171","Finland","FIN","14_1_1_1",2018,165213,0.513061659461501
"172","France","FRA","14_1_1_1",2015,6693829,0.226253708419155
"173","France","FRA","14_1_1_1",2016,4550833,0.256151340391204
"174","France","FRA","14_1_1_1",2017,190684,0.501952425930131
"175","France","FRA","14_1_1_1",2018,1066566,0.368564366229382
"176","France","FRA","14_1_1_1",2019,1329666,0.351481306410563
"177","France","FRA","14_1_1_1",2020,604617,0.41254230857244
"178","French Polynesia","PYF","14_1_1_1",2015,1117647,0.364939742891413
"179","Georgia","GEO","14_1_1_1",2019,986890,0.3745799737518
"180","Georgia","GEO","14_1_1_1",2020,10828452,0.188986549005824
"181","Germany","DEU","14_1_1_1",2015,101061,0.551143923229088
"182","Germany","DEU","14_1_1_1",2016,2106574,0.315830061625541
"183","Germany","DEU","14_1_1_1",2017,43348,0.616727884181849
"184","Germany","DEU","14_1_1_1",2018,386139,0.447284143623966
"185","Germany","DEU","14_1_1_1",2019,16956,0.689453565310372
"186","Ghana","GHA","14_1_1_1",2016,33579283,0.101300004510791
"187","Ghana","GHA","14_1_1_1",2017,56875108,0.060472066887034
"188","Ghana","GHA","14_1_1_1",2019,179760103,0
"189","Ghana","GHA","14_1_1_1",2020,152134672,0
"190","Greece","GRC","14_1_1_1",2015,2866051,0.291976141854171
"191","Greece","GRC","14_1_1_1",2016,1806335,0.327743610053607
"192","Greece","GRC","14_1_1_1",2017,1039325,0.370568979807893
"193","Greece","GRC","14_1_1_1",2018,1432935,0.345686038728765
"194","Greece","GRC","14_1_1_1",2019,15158,0.698138548364971
"195","Greece","GRC","14_1_1_1",2020,72014,0.577399067087665
"196","Grenada","GRD","14_1_1_1",2016,400159,0.444520855580766
"197","Grenada","GRD","14_1_1_1",2017,592911,0.414057110891317
"198","Grenada","GRD","14_1_1_1",2018,3625093,0.273772630806694
"199","Guam","GUM","14_1_1_1",2015,295858,0.467918431332666
"200","Guam","GUM","14_1_1_1",2016,1880771,0.324614825203794
"201","Guam","GUM","14_1_1_1",2017,1297635,0.353370608781871
"202","Guam","GUM","14_1_1_1",2018,72532,0.576843745155946
"203","Guatemala","GTM","14_1_1_1",2016,4017753,0.26580437286911
"204","Guatemala","GTM","14_1_1_1",2017,10803670,0.189164072854151
"205","Guatemala","GTM","14_1_1_1",2018,250689,0.480754260848244
"206","Guernsey","GGY","14_1_1_1",2016,539843,0.421322091053706
"207","Guernsey","GGY","14_1_1_1",2017,2382398,0.306296572154249
"208","Guernsey","GGY","14_1_1_1",2018,2032941,0.318586752890978
"209","Guyana","GUY","14_1_1_1",2016,2985316,0.288817247427471
"210","Guyana","GUY","14_1_1_1",2017,1557775,0.339213849933349
"211","Guyana","GUY","14_1_1_1",2018,4524475,0.256601401604324
"212","Iceland","ISL","14_1_1_1",2018,475911,0.431088243673283
"213","India","IND","14_1_1_1",2016,883222,0.38317885269979
"214","India","IND","14_1_1_1",2017,916969,0.380273581011237
"215","India","IND","14_1_1_1",2018,172809,0.509578828519316
"216","Indonesia","IDN","14_1_1_1",2016,2090664,0.3164174535188
"217","Indonesia","IDN","14_1_1_1",2017,1539911,0.340107495728915
"218","Indonesia","IDN","14_1_1_1",2018,508551,0.425948639317202
"219","Ireland","IRL","14_1_1_1",2015,16667,0.690785525861462
"220","Ireland","IRL","14_1_1_1",2016,123359,0.535696397795282
"221","Ireland","IRL","14_1_1_1",2017,293877,0.468438964599975
"222","Ireland","IRL","14_1_1_1",2018,23512,0.664126210813003
"223","Ireland","IRL","14_1_1_1",2019,440,0.972379501597975
"224","Isle of Man","IMN","14_1_1_1",2016,6200249,0.232188408936207
"225","Israel","ISR","14_1_1_1",2015,221205,0.490448803336272
"226","Israel","ISR","14_1_1_1",2018,4473264,0.257483371658128
"227","Italy","ITA","14_1_1_1",2015,9195292,0.201653396172327
"228","Italy","ITA","14_1_1_1",2016,7008116,0.22269870793639
"229","Italy","ITA","14_1_1_1",2017,2331030,0.3079854267466
"230","Italy","ITA","14_1_1_1",2018,697753,0.401441759377186
"231","Italy","ITA","14_1_1_1",2019,211601,0.493887940211683
"232","Jamaica","JAM","14_1_1_1",2016,4508765,0.256870897626178
"233","Jamaica","JAM","14_1_1_1",2017,4294002,0.260652237635132
"234","Jamaica","JAM","14_1_1_1",2018,2404118,0.30559339853081
"235","Japan","JPN","14_1_1_1",2015,619750,0.410626929147783
"236","Japan","JPN","14_1_1_1",2016,1959469,0.321438789175735
"237","Japan","JPN","14_1_1_1",2017,1781297,0.328825089031564
"238","Japan","JPN","14_1_1_1",2018,468998,0.432221957921628
