"","Entity","Code","SDG","Year","value"
"20","Albania","ALB","14_1_1_2",2001,93.39
"21","Albania","ALB","14_1_1_2",2002,89.86
"22","Albania","ALB","14_1_1_2",2003,99.6
"23","Albania","ALB","14_1_1_2",2004,80.82
"24","Albania","ALB","14_1_1_2",2005,93.25
"25","Albania","ALB","14_1_1_2",2006,95.5
"26","Albania","ALB","14_1_1_2",2007,92.86
"27","Albania","ALB","14_1_1_2",2008,85.32
"28","Albania","ALB","14_1_1_2",2009,93.81
"29","Albania","ALB","14_1_1_2",2010,78.92
"30","Albania","ALB","14_1_1_2",2011,85.98
"31","Albania","ALB","14_1_1_2",2012,93.65
"32","Albania","ALB","14_1_1_2",2013,96.03
"33","Albania","ALB","14_1_1_2",2014,97.35
"34","Albania","ALB","14_1_1_2",2015,95.68
"35","Albania","ALB","14_1_1_2",2016,98.41
"36","Albania","ALB","14_1_1_2",2018,95.5
"37","Algeria","DZA","14_1_1_2",2000,98.91
"38","Algeria","DZA","14_1_1_2",2001,96.9
"39","Algeria","DZA","14_1_1_2",2002,91.95
"40","Algeria","DZA","14_1_1_2",2003,99.56
"41","Algeria","DZA","14_1_1_2",2004,97.34
"42","Algeria","DZA","14_1_1_2",2005,94.42
"43","Algeria","DZA","14_1_1_2",2006,94.89
"44","Algeria","DZA","14_1_1_2",2007,93.88
"45","Algeria","DZA","14_1_1_2",2008,99.38
"46","Algeria","DZA","14_1_1_2",2009,94.46
"47","Algeria","DZA","14_1_1_2",2010,96.4
"48","Algeria","DZA","14_1_1_2",2011,99.77
"49","Algeria","DZA","14_1_1_2",2012,98.49
"50","Algeria","DZA","14_1_1_2",2013,78.16
"51","Algeria","DZA","14_1_1_2",2014,75.52
"52","Algeria","DZA","14_1_1_2",2015,96.1
"53","Algeria","DZA","14_1_1_2",2016,98.68
"54","Algeria","DZA","14_1_1_2",2017,99.03
"55","Algeria","DZA","14_1_1_2",2018,95
"56","Algeria","DZA","14_1_1_2",2019,98.58
"57","American Samoa","ASM","14_1_1_2",2000,99.68
"58","American Samoa","ASM","14_1_1_2",2001,99.12
"59","American Samoa","ASM","14_1_1_2",2002,97.5
"60","American Samoa","ASM","14_1_1_2",2003,92.31
"61","American Samoa","ASM","14_1_1_2",2004,96.56
"62","American Samoa","ASM","14_1_1_2",2005,99.42
"63","American Samoa","ASM","14_1_1_2",2006,99.34
"64","American Samoa","ASM","14_1_1_2",2007,97.59
"65","American Samoa","ASM","14_1_1_2",2008,97
"66","American Samoa","ASM","14_1_1_2",2009,98.14
"67","American Samoa","ASM","14_1_1_2",2010,99.31
"68","American Samoa","ASM","14_1_1_2",2011,94.25
"69","American Samoa","ASM","14_1_1_2",2012,99.3
"70","American Samoa","ASM","14_1_1_2",2013,99.94
"71","American Samoa","ASM","14_1_1_2",2014,98.35
"72","American Samoa","ASM","14_1_1_2",2015,96.89
"73","American Samoa","ASM","14_1_1_2",2016,97.83
"74","American Samoa","ASM","14_1_1_2",2017,98.9
"75","American Samoa","ASM","14_1_1_2",2018,96.6
"76","American Samoa","ASM","14_1_1_2",2019,94.4
"97","Angola","AGO","14_1_1_2",2000,96.6
"98","Angola","AGO","14_1_1_2",2001,91.37
"99","Angola","AGO","14_1_1_2",2002,87.49
"100","Angola","AGO","14_1_1_2",2003,91.42
"101","Angola","AGO","14_1_1_2",2004,85.42
"102","Angola","AGO","14_1_1_2",2005,88.92
"103","Angola","AGO","14_1_1_2",2006,92.33
"104","Angola","AGO","14_1_1_2",2007,93.87
"105","Angola","AGO","14_1_1_2",2008,93.5
"106","Angola","AGO","14_1_1_2",2009,94.12
"107","Angola","AGO","14_1_1_2",2010,94.32
"108","Angola","AGO","14_1_1_2",2011,91.25
"109","Angola","AGO","14_1_1_2",2012,96.72
"110","Angola","AGO","14_1_1_2",2013,96.74
"111","Angola","AGO","14_1_1_2",2014,95.92
"112","Angola","AGO","14_1_1_2",2015,93.89
"113","Angola","AGO","14_1_1_2",2016,95.32
"114","Angola","AGO","14_1_1_2",2017,97.27
"115","Angola","AGO","14_1_1_2",2018,96.39
"116","Angola","AGO","14_1_1_2",2019,98.34
"117","Anguilla","AIA","14_1_1_2",2000,97.87
"118","Anguilla","AIA","14_1_1_2",2001,98.21
"119","Anguilla","AIA","14_1_1_2",2002,97.07
"120","Anguilla","AIA","14_1_1_2",2003,98.58
"121","Anguilla","AIA","14_1_1_2",2004,93.35
"122","Anguilla","AIA","14_1_1_2",2005,99.58
"123","Anguilla","AIA","14_1_1_2",2006,99.96
"124","Anguilla","AIA","14_1_1_2",2007,89.65
"125","Anguilla","AIA","14_1_1_2",2008,99.97
"126","Anguilla","AIA","14_1_1_2",2009,81.41
"127","Anguilla","AIA","14_1_1_2",2010,91.75
"128","Anguilla","AIA","14_1_1_2",2011,99.98
"129","Anguilla","AIA","14_1_1_2",2012,99.98
"130","Anguilla","AIA","14_1_1_2",2013,98.64
"131","Anguilla","AIA","14_1_1_2",2014,99.98
"132","Anguilla","AIA","14_1_1_2",2015,98.47
"133","Anguilla","AIA","14_1_1_2",2016,99.66
"134","Anguilla","AIA","14_1_1_2",2017,99.02
"135","Anguilla","AIA","14_1_1_2",2018,99.36
"136","Anguilla","AIA","14_1_1_2",2019,99.67
"137","Antigua and Barbuda","ATG","14_1_1_2",2000,98.79
"138","Antigua and Barbuda","ATG","14_1_1_2",2001,97.2
"139","Antigua and Barbuda","ATG","14_1_1_2",2002,97.02
"140","Antigua and Barbuda","ATG","14_1_1_2",2003,84
"141","Antigua and Barbuda","ATG","14_1_1_2",2004,91.88
"142","Antigua and Barbuda","ATG","14_1_1_2",2005,99.97
"143","Antigua and Barbuda","ATG","14_1_1_2",2006,99.98
"144","Antigua and Barbuda","ATG","14_1_1_2",2007,83.05
"145","Antigua and Barbuda","ATG","14_1_1_2",2008,99.97
"146","Antigua and Barbuda","ATG","14_1_1_2",2009,87.13
"147","Antigua and Barbuda","ATG","14_1_1_2",2010,90.29
"148","Antigua and Barbuda","ATG","14_1_1_2",2012,99.97
"149","Antigua and Barbuda","ATG","14_1_1_2",2013,98.19
"150","Antigua and Barbuda","ATG","14_1_1_2",2014,98.74
"151","Antigua and Barbuda","ATG","14_1_1_2",2015,98.12
"152","Antigua and Barbuda","ATG","14_1_1_2",2016,99.09
"153","Antigua and Barbuda","ATG","14_1_1_2",2017,98.67
"154","Antigua and Barbuda","ATG","14_1_1_2",2018,99.96
"155","Antigua and Barbuda","ATG","14_1_1_2",2019,98.11
"156","Argentina","ARG","14_1_1_2",2000,96.96
"157","Argentina","ARG","14_1_1_2",2001,93.86
"158","Argentina","ARG","14_1_1_2",2002,91.6
"159","Argentina","ARG","14_1_1_2",2003,85.2
"160","Argentina","ARG","14_1_1_2",2004,92.84
"161","Argentina","ARG","14_1_1_2",2005,94.5
"162","Argentina","ARG","14_1_1_2",2006,95.57
"163","Argentina","ARG","14_1_1_2",2007,94.49
"164","Argentina","ARG","14_1_1_2",2008,92.13
"165","Argentina","ARG","14_1_1_2",2009,93.68
"166","Argentina","ARG","14_1_1_2",2010,91.82
"167","Argentina","ARG","14_1_1_2",2011,90.98
"168","Argentina","ARG","14_1_1_2",2012,89.77
"169","Argentina","ARG","14_1_1_2",2013,94
"170","Argentina","ARG","14_1_1_2",2014,90.97
"171","Argentina","ARG","14_1_1_2",2015,95.27
"172","Argentina","ARG","14_1_1_2",2016,89.3
"173","Argentina","ARG","14_1_1_2",2017,90.64
"174","Argentina","ARG","14_1_1_2",2018,95.44
"175","Argentina","ARG","14_1_1_2",2019,93.84
"176","Aruba","ABW","14_1_1_2",2000,96.64
"177","Aruba","ABW","14_1_1_2",2001,99.24
"178","Aruba","ABW","14_1_1_2",2002,99.03
"179","Aruba","ABW","14_1_1_2",2003,83.87
"180","Aruba","ABW","14_1_1_2",2004,98.92
"181","Aruba","ABW","14_1_1_2",2005,98.74
"182","Aruba","ABW","14_1_1_2",2006,96.41
"183","Aruba","ABW","14_1_1_2",2007,99.81
"184","Aruba","ABW","14_1_1_2",2008,99.68
"185","Aruba","ABW","14_1_1_2",2009,83.42
"186","Aruba","ABW","14_1_1_2",2010,95.06
"187","Aruba","ABW","14_1_1_2",2011,99.92
"188","Aruba","ABW","14_1_1_2",2012,98.53
"189","Aruba","ABW","14_1_1_2",2013,99.6
"190","Aruba","ABW","14_1_1_2",2014,98.4
"191","Aruba","ABW","14_1_1_2",2015,97.77
"192","Aruba","ABW","14_1_1_2",2016,97.89
"193","Aruba","ABW","14_1_1_2",2017,95.76
"194","Aruba","ABW","14_1_1_2",2018,98.29
"195","Aruba","ABW","14_1_1_2",2019,98.06
"216","Australia","AUS","14_1_1_2",2000,98.79
"217","Australia","AUS","14_1_1_2",2001,98.28
"218","Australia","AUS","14_1_1_2",2002,98.57
"219","Australia","AUS","14_1_1_2",2003,96.49
"220","Australia","AUS","14_1_1_2",2004,97.34
"221","Australia","AUS","14_1_1_2",2005,98.21
"222","Australia","AUS","14_1_1_2",2006,97.82
"223","Australia","AUS","14_1_1_2",2007,97.88
"224","Australia","AUS","14_1_1_2",2008,98.43
"225","Australia","AUS","14_1_1_2",2009,97.98
"226","Australia","AUS","14_1_1_2",2010,98.41
"227","Australia","AUS","14_1_1_2",2011,98.49
"228","Australia","AUS","14_1_1_2",2012,98.31
"229","Australia","AUS","14_1_1_2",2013,98.22
"230","Australia","AUS","14_1_1_2",2014,98.15
"231","Australia","AUS","14_1_1_2",2015,98.22
"232","Australia","AUS","14_1_1_2",2016,98.74
"233","Australia","AUS","14_1_1_2",2017,98.18
"234","Australia","AUS","14_1_1_2",2018,98.91
"235","Australia","AUS","14_1_1_2",2019,97.81
"256","Bahamas","BHS","14_1_1_2",2000,99.41
"257","Bahamas","BHS","14_1_1_2",2001,98.51
"258","Bahamas","BHS","14_1_1_2",2002,99.83
"259","Bahamas","BHS","14_1_1_2",2003,99.49
"260","Bahamas","BHS","14_1_1_2",2004,99.43
"261","Bahamas","BHS","14_1_1_2",2005,99.68
"262","Bahamas","BHS","14_1_1_2",2006,99.83
"263","Bahamas","BHS","14_1_1_2",2007,99.58
"264","Bahamas","BHS","14_1_1_2",2008,99.82
"265","Bahamas","BHS","14_1_1_2",2009,99.73
"266","Bahamas","BHS","14_1_1_2",2010,99.82
"267","Bahamas","BHS","14_1_1_2",2011,99.69
"268","Bahamas","BHS","14_1_1_2",2012,99.41
"269","Bahamas","BHS","14_1_1_2",2013,99.39
"270","Bahamas","BHS","14_1_1_2",2014,99.42
"271","Bahamas","BHS","14_1_1_2",2015,99.14
"272","Bahamas","BHS","14_1_1_2",2016,99.59
"273","Bahamas","BHS","14_1_1_2",2017,99.27
"274","Bahamas","BHS","14_1_1_2",2018,99.77
"275","Bahamas","BHS","14_1_1_2",2019,99.29
"276","Bahrain","BHR","14_1_1_2",2000,96.78
"277","Bahrain","BHR","14_1_1_2",2002,93.79
