"","Entity","Code","SDG","Year","value"
"1","Belize","BLZ","14_2_1",2016,100
"2","Bulgaria","BGR","14_2_1",2020,100
"3","Cambodia","KHM","14_2_1",2020,100
"4","Cayman Islands","CYM","14_2_1",2020,100
"5","China","CHN","14_2_1",2020,100
"6","Colombia","COL","14_2_1",2020,100
"7","Denmark","DNK","14_2_1",2020,100
"8","Finland","FIN","14_2_1",2020,100
"9","Germany","DEU","14_2_1",2020,100
"10","Indonesia","IDN","14_2_1",2020,100
"11","Jamaica","JAM","14_2_1",2020,100
"12","Lithuania","LTU","14_2_1",2020,100
"13","Malaysia","MYS","14_2_1",2020,100
"14","Philippines","PHL","14_2_1",2020,100
"15","Singapore","SGP","14_2_1",2020,100
"16","South Korea","KOR","14_2_1",2020,100
"17","Thailand","THA","14_2_1",2020,100
"18","Vietnam","VNM","14_2_1",2020,100
