"","Entity","Code","SDG","Year","value","value_norm"
"1","Albania","ALB","14_6_1","2018",0.5,0.5
"2","Angola","AGO","14_6_1","2018",NA,NA
"3","Antigua and Barbuda","ATG","14_6_1","2018",0.5,0.5
"4","Argentina","ARG","14_6_1","2018",0.5,0.5
"5","Australia","AUS","14_6_1","2018",1,1
"6","Austria","AUT","14_6_1","2018",1,1
"7","Bahamas","BHS","14_6_1","2018",0.75,0.75
"8","Bangladesh","BGD","14_6_1","2018",0.5,0.5
"9","Belarus","BLR","14_6_1","2018",NA,NA
"10","Belgium","BEL","14_6_1","2018",1,1
"11","Belize","BLZ","14_6_1","2018",0.75,0.75
"12","Benin","BEN","14_6_1","2018",1,1
"13","Bosnia and Herzegovina","BIH","14_6_1","2018",NA,NA
"14","Brazil","BRA","14_6_1","2018",NA,NA
"15","Bulgaria","BGR","14_6_1","2018",1,1
"16","Burkina Faso","BFA","14_6_1","2018",0,0
"17","Cameroon","CMR","14_6_1","2018",0,0
"18","Canada","CAN","14_6_1","2018",1,1
"19","Cape Verde","CPV","14_6_1","2018",0.75,0.75
"20","Chile","CHL","14_6_1","2018",1,1
"21","China","CHN","14_6_1","2018",NA,NA
"22","Colombia","COL","14_6_1","2018",NA,NA
"23","Congo","COG","14_6_1","2018",NA,NA
"24","Cook Islands","COK","14_6_1","2018",NA,NA
"25","Costa Rica","CRI","14_6_1","2018",NA,NA
"26","Cote d'Ivoire","CIV","14_6_1","2018",0.75,0.75
"27","Croatia","HRV","14_6_1","2018",1,1
"28","Cuba","CUB","14_6_1","2018",1,1
"29","Cyprus","CYP","14_6_1","2018",1,1
"30","Czechia","CZE","14_6_1","2018",1,1
"31","Denmark","DNK","14_6_1","2018",1,1
"32","Dominican Republic","DOM","14_6_1","2018",0.5,0.5
"33","Ecuador","ECU","14_6_1","2018",0.75,0.75
"34","El Salvador","SLV","14_6_1","2018",0.5,0.5
"35","Equatorial Guinea","GNQ","14_6_1","2018",NA,NA
"36","Eritrea","ERI","14_6_1","2018",NA,NA
"37","Estonia","EST","14_6_1","2018",1,1
"38","Faeroe Islands","FRO","14_6_1","2018",1,1
"39","Fiji","FJI","14_6_1","2018",1,1
"40","Finland","FIN","14_6_1","2018",1,1
"41","France","FRA","14_6_1","2018",1,1
"42","Gambia","GMB","14_6_1","2018",0.5,0.5
"43","Georgia","GEO","14_6_1","2018",0.25,0.25
"44","Germany","DEU","14_6_1","2018",1,1
"45","Ghana","GHA","14_6_1","2018",0.75,0.75
"46","Greece","GRC","14_6_1","2018",1,1
"47","Guatemala","GTM","14_6_1","2018",0.75,0.75
"48","Guinea","GIN","14_6_1","2018",1,1
"49","Guyana","GUY","14_6_1","2018",0.25,0.25
"50","Honduras","HND","14_6_1","2018",0.5,0.5
"51","Hungary","HUN","14_6_1","2018",1,1
"52","Iceland","ISL","14_6_1","2018",1,1
"53","India","IND","14_6_1","2018",NA,NA
"54","Indonesia","IDN","14_6_1","2018",0.75,0.75
"55","Iran","IRN","14_6_1","2018",0.5,0.5
"56","Ireland","IRL","14_6_1","2018",1,1
"57","Italy","ITA","14_6_1","2018",1,1
"58","Jamaica","JAM","14_6_1","2018",0.25,0.25
"59","Japan","JPN","14_6_1","2018",1,1
"60","Kenya","KEN","14_6_1","2018",NA,NA
"61","Kiribati","KIR","14_6_1","2018",NA,NA
"62","Kuwait","KWT","14_6_1","2018",NA,NA
"63","Kyrgyzstan","KGZ","14_6_1","2018",0,0
"64","Latvia","LVA","14_6_1","2018",1,1
"65","Lebanon","LBN","14_6_1","2018",0,0
"66","Libya","LBY","14_6_1","2018",0.25,0.25
"67","Lithuania","LTU","14_6_1","2018",1,1
"68","Luxembourg","LUX","14_6_1","2018",1,1
"69","Madagascar","MDG","14_6_1","2018",0.75,0.75
"70","Malawi","MWI","14_6_1","2018",0.25,0.25
"71","Malaysia","MYS","14_6_1","2018",0.5,0.5
"72","Maldives","MDV","14_6_1","2018",0.5,0.5
"73","Mali","MLI","14_6_1","2018",0,0
"74","Malta","MLT","14_6_1","2018",1,1
"75","Marshall Islands","MHL","14_6_1","2018",NA,NA
"76","Mauritania","MRT","14_6_1","2018",0.75,0.75
"77","Mauritius","MUS","14_6_1","2018",NA,NA
"78","Mexico","MEX","14_6_1","2018",0.75,0.75
"79","Micronesia (country)","FSM","14_6_1","2018",0.75,0.75
"80","Montenegro","MNE","14_6_1","2018",NA,NA
"81","Morocco","MAR","14_6_1","2018",1,1
"82","Myanmar","MMR","14_6_1","2018",0.5,0.5
"83","Namibia","NAM","14_6_1","2018",1,1
"84","Nauru","NRU","14_6_1","2018",NA,NA
"85","Netherlands","NLD","14_6_1","2018",1,1
"86","New Zealand","NZL","14_6_1","2018",1,1
"87","Nicaragua","NIC","14_6_1","2018",0.5,0.5
"88","Norway","NOR","14_6_1","2018",0.75,0.75
"89","Oman","OMN","14_6_1","2018",1,1
"90","Pakistan","PAK","14_6_1","2018",0.5,0.5
"91","Palau","PLW","14_6_1","2018",0.25,0.25
"92","Panama","PAN","14_6_1","2018",NA,NA
"93","Peru","PER","14_6_1","2018",0.5,0.5
"94","Philippines","PHL","14_6_1","2018",1,1
"95","Poland","POL","14_6_1","2018",1,1
"96","Portugal","PRT","14_6_1","2018",1,1
"97","Romania","ROU","14_6_1","2018",1,1
"98","Russia","RUS","14_6_1","2018",0.75,0.75
"99","Saint Kitts and Nevis","KNA","14_6_1","2018",NA,NA
"100","Saint Martin (French part)","MAF","14_6_1","2018",NA,NA
"101","Saint Vincent and the Grenadines","VCT","14_6_1","2018",NA,NA
"102","Samoa","WSM","14_6_1","2018",NA,NA
"103","Sao Tome and Principe","STP","14_6_1","2018",0.5,0.5
"104","Senegal","SEN","14_6_1","2018",1,1
"105","Seychelles","SYC","14_6_1","2018",0.75,0.75
"106","Singapore","SGP","14_6_1","2018",NA,NA
"107","Slovakia","SVK","14_6_1","2018",1,1
"108","Slovenia","SVN","14_6_1","2018",1,1
"109","Solomon Islands","SLB","14_6_1","2018",0.75,0.75
"110","Somalia","SOM","14_6_1","2018",0.5,0.5
"111","South Korea","KOR","14_6_1","2018",1,1
"112","Spain","ESP","14_6_1","2018",1,1
"113","Sri Lanka","LKA","14_6_1","2018",1,1
"114","Sudan","SDN","14_6_1","2018",0.25,0.25
"115","Suriname","SUR","14_6_1","2018",0.25,0.25
"116","Sweden","SWE","14_6_1","2018",1,1
"117","Tajikistan","TJK","14_6_1","2018",0.25,0.25
"118","Tanzania","TZA","14_6_1","2018",1,1
"119","Thailand","THA","14_6_1","2018",1,1
"120","Tokelau","TKL","14_6_1","2018",NA,NA
"121","Tonga","TON","14_6_1","2018",0.5,0.5
"122","Trinidad and Tobago","TTO","14_6_1","2018",0,0
"123","Turkey","TUR","14_6_1","2018",0.75,0.75
"124","Ukraine","UKR","14_6_1","2018",NA,NA
"125","United Arab Emirates","ARE","14_6_1","2018",NA,NA
"126","United Kingdom","GBR","14_6_1","2018",1,1
"127","Uruguay","URY","14_6_1","2018",1,1
"128","Vanuatu","VUT","14_6_1","2018",0.75,0.75
"129","Vatican","VAT","14_6_1","2018",NA,NA
"130","Venezuela","VEN","14_6_1","2018",0.25,0.25
"131","Vietnam","VNM","14_6_1","2018",0.75,0.75
"132","Yemen","YEM","14_6_1","2018",NA,NA
"133","Zambia","ZMB","14_6_1","2018",NA,NA
"134","Albania","ALB","14_6_1","2020",1,1
"135","Angola","AGO","14_6_1","2020",1,1
"136","Antigua and Barbuda","ATG","14_6_1","2020",0.5,0.5
"137","Argentina","ARG","14_6_1","2020",1,1
"138","Australia","AUS","14_6_1","2020",1,1
"139","Austria","AUT","14_6_1","2020",1,1
"140","Bahamas","BHS","14_6_1","2020",1,1
"141","Bangladesh","BGD","14_6_1","2020",0.5,0.5
"142","Belarus","BLR","14_6_1","2020",1,1
"143","Belgium","BEL","14_6_1","2020",1,1
"144","Belize","BLZ","14_6_1","2020",0.625,0.625
"145","Benin","BEN","14_6_1","2020",1,1
"146","Bosnia and Herzegovina","BIH","14_6_1","2020",0,0
"147","Brazil","BRA","14_6_1","2020",0.5,0.5
"148","Bulgaria","BGR","14_6_1","2020",1,1
"149","Burkina Faso","BFA","14_6_1","2020",1,1
"150","Cameroon","CMR","14_6_1","2020",1,1
"151","Canada","CAN","14_6_1","2020",1,1
"152","Cape Verde","CPV","14_6_1","2020",0.875,0.875
"153","Chile","CHL","14_6_1","2020",1,1
"154","China","CHN","14_6_1","2020",0.625,0.625
"155","Colombia","COL","14_6_1","2020",0.5,0.5
"156","Congo","COG","14_6_1","2020",0,0
