"","Entity","Code","SDG","Year","value","value_norm"
"1","Belgium","BEL","14_a_1",2013,0.37339,0.0450305509576101
"2","Belgium","BEL","14_a_1",2014,0.35534,0.0426230207901234
"3","Belgium","BEL","14_a_1",2015,0.29857,0.0350509716151526
"4","Belgium","BEL","14_a_1",2016,0.28028,0.0326114299662145
"5","Belgium","BEL","14_a_1",2017,0.26589,0.0306920748908609
"6","Brazil","BRA","14_a_1",2013,0.068,0.00429727462249794
"7","Brazil","BRA","14_a_1",2014,0.04726,0.00153094910041068
"8","Brazil","BRA","14_a_1",2015,0.02374,0
"9","Brazil","BRA","14_a_1",2016,0.03733,0.00020647405536119
"10","Brazil","BRA","14_a_1",2017,0.03639,8.10957530100793e-05
"11","Bulgaria","BGR","14_a_1",2013,0.0869,0.00681817878679153
"12","Bulgaria","BGR","14_a_1",2014,0.06631,0.00407186044061137
"13","Bulgaria","BGR","14_a_1",2015,0.04895,0.00175636328229725
"14","Bulgaria","BGR","14_a_1",2016,0.05712,0.00284608746337019
"15","Bulgaria","BGR","14_a_1",2017,0.06366,0.00371840033291941
"16","Canada","CAN","14_a_1",2013,0.88456,0.113211005013798
"17","Canada","CAN","14_a_1",2014,0.78075,0.0993647054743635
"18","Canada","CAN","14_a_1",2015,0.6991,0.0884741327222697
"19","Canada","CAN","14_a_1",2016,0.66731,0.0842339452416934
"20","Canada","CAN","14_a_1",2017,0.80792,0.102988671937001
"21","Colombia","COL","14_a_1",2013,0.11202,0.0101687138453659
"22","Colombia","COL","14_a_1",2014,0.1637,0.0170618528512226
"23","Colombia","COL","14_a_1",2015,0.11677,0.0108022744157571
"24","Colombia","COL","14_a_1",2016,0.0888,0.00707160301494803
"25","Colombia","COL","14_a_1",2017,0.08323,0.00632866988293134
"26","Croatia","HRV","14_a_1",2013,2.92606,0.385508669109321
"27","Democratic Republic of Congo","COD","14_a_1",2015,1.11993,0.14460493163548
"28","Ecuador","ECU","14_a_1",2013,2.68197,0.352951658661573
"29","Ecuador","ECU","14_a_1",2014,2.52955,0.332621700316514
"30","Finland","FIN","14_a_1",2013,0.31524,0.0372744357642941
"31","Finland","FIN","14_a_1",2014,0.33874,0.0404088933230719
"32","Finland","FIN","14_a_1",2015,0.30814,0.0363274294380251
"33","Finland","FIN","14_a_1",2016,0.31978,0.0378799862884154
"34","Finland","FIN","14_a_1",2017,0.31646,0.0374371607950051
"35","France","FRA","14_a_1",2017,0.52954,0.0658580210768929
"36","Germany","DEU","14_a_1",2013,0.3217,0.0381360781400262
"37","Germany","DEU","14_a_1",2014,0.30502,0.0359112801791576
"38","Germany","DEU","14_a_1",2015,0.24607,0.0280484600476704
"39","Germany","DEU","14_a_1",2016,0.25098,0.0287033616056959
"40","Germany","DEU","14_a_1",2017,0.24542,0.0279617622854064
"41","India","IND","14_a_1",2013,0.26906,0.0311148932083641
"42","Iran","IRN","14_a_1",2015,1.42179,0.184867372430912
"43","Iran","IRN","14_a_1",2017,0.63322,0.0796869810638749
"44","Ireland","IRL","14_a_1",2017,4.80811,0.636538705215604
"45","Italy","ITA","14_a_1",2013,0.36694,0.0441702423936052
"46","Italy","ITA","14_a_1",2014,0.35486,0.0425589978272207
"47","Italy","ITA","14_a_1",2015,0.30667,0.0361313591141356
"48","Italy","ITA","14_a_1",2016,0.30592,0.0360313232346001
"49","Italy","ITA","14_a_1",2017,0.194,0.0211033023844552
"50","Japan","JPN","14_a_1",2013,0.82353,0.105070752043066
"51","Japan","JPN","14_a_1",2014,0.35975,0.0432112317617919
"52","Japan","JPN","14_a_1",2015,0.45281,0.0556236836945518
