"","Entity","Code","SDG","Year","value","value_norm"
"1","Afghanistan","AFG","14_b_1","2018",NA,NA
"2","Albania","ALB","14_b_1","2018",0.5,0.5
"3","Angola","AGO","14_b_1","2018",NA,NA
"4","Antigua and Barbuda","ATG","14_b_1","2018",1,1
"5","Argentina","ARG","14_b_1","2018",NA,NA
"6","Armenia","ARM","14_b_1","2018",0.25,0.25
"7","Austria","AUT","14_b_1","2018",0.75,0.75
"8","Azerbaijan","AZE","14_b_1","2018",0.5,0.5
"9","Bahamas","BHS","14_b_1","2018",0.75,0.75
"10","Bangladesh","BGD","14_b_1","2018",0.5,0.5
"11","Belarus","BLR","14_b_1","2018",NA,NA
"12","Belgium","BEL","14_b_1","2018",0.75,0.75
"13","Belize","BLZ","14_b_1","2018",1,1
"14","Benin","BEN","14_b_1","2018",0.75,0.75
"15","Bhutan","BTN","14_b_1","2018",0.5,0.5
"16","Bolivia","BOL","14_b_1","2018",NA,NA
"17","Botswana","BWA","14_b_1","2018",0.75,0.75
"18","Brazil","BRA","14_b_1","2018",NA,NA
"19","Bulgaria","BGR","14_b_1","2018",0.75,0.75
"20","Burkina Faso","BFA","14_b_1","2018",0.75,0.75
"21","Burundi","BDI","14_b_1","2018",1,1
"22","Cambodia","KHM","14_b_1","2018",NA,NA
"23","Cameroon","CMR","14_b_1","2018",0.75,0.75
"24","Canada","CAN","14_b_1","2018",0.75,0.75
"25","Cape Verde","CPV","14_b_1","2018",1,1
"26","Chad","TCD","14_b_1","2018",1,1
"27","Chile","CHL","14_b_1","2018",1,1
"28","China","CHN","14_b_1","2018",NA,NA
"29","Colombia","COL","14_b_1","2018",NA,NA
"30","Congo","COG","14_b_1","2018",NA,NA
"31","Cook Islands","COK","14_b_1","2018",NA,NA
"32","Costa Rica","CRI","14_b_1","2018",NA,NA
"33","Cote d'Ivoire","CIV","14_b_1","2018",1,1
"34","Croatia","HRV","14_b_1","2018",0.75,0.75
"35","Cuba","CUB","14_b_1","2018",1,1
"36","Cyprus","CYP","14_b_1","2018",0.75,0.75
"37","Czechia","CZE","14_b_1","2018",0.75,0.75
"38","Denmark","DNK","14_b_1","2018",0.75,0.75
"39","Dominica","DMA","14_b_1","2018",0.5,0.5
"40","Dominican Republic","DOM","14_b_1","2018",0.75,0.75
"41","Ecuador","ECU","14_b_1","2018",NA,NA
"42","El Salvador","SLV","14_b_1","2018",1,1
"43","Equatorial Guinea","GNQ","14_b_1","2018",NA,NA
"44","Eritrea","ERI","14_b_1","2018",0.5,0.5
"45","Estonia","EST","14_b_1","2018",0.75,0.75
"46","Eswatini","SWZ","14_b_1","2018",0.25,0.25
"47","Ethiopia","ETH","14_b_1","2018",0.75,0.75
"48","Faeroe Islands","FRO","14_b_1","2018",0.75,0.75
"49","Fiji","FJI","14_b_1","2018",1,1
"50","Finland","FIN","14_b_1","2018",0.75,0.75
"51","France","FRA","14_b_1","2018",0.75,0.75
"52","Gambia","GMB","14_b_1","2018",1,1
"53","Georgia","GEO","14_b_1","2018",0,0
"54","Germany","DEU","14_b_1","2018",0.75,0.75
"55","Ghana","GHA","14_b_1","2018",1,1
"56","Greece","GRC","14_b_1","2018",0.75,0.75
"57","Grenada","GRD","14_b_1","2018",NA,NA
"58","Guatemala","GTM","14_b_1","2018",0.5,0.5
