"","Entity","Code","SDG","Year","value","value_norm"
"1","Argentina","ARG","14_c_1_1",2020,67,0.67
"2","Austria","AUT","14_c_1_1",2020,100,1
"3","Azerbaijan","AZE","14_c_1_1",2020,67,0.67
"4","Bangladesh","BGD","14_c_1_1",2020,100,1
"5","Belarus","BLR","14_c_1_1",2020,67,0.67
"6","Belize","BLZ","14_c_1_1",2020,100,1
"7","Bulgaria","BGR","14_c_1_1",2020,100,1
"8","Burundi","BDI","14_c_1_1",2020,0,0
"9","China","CHN","14_c_1_1",2020,100,1
"10","Colombia","COL","14_c_1_1",2020,0,0
"11","Croatia","HRV","14_c_1_1",2020,100,1
"12","Czechia","CZE","14_c_1_1",2020,100,1
"13","Denmark","DNK","14_c_1_1",2020,100,1
"14","Ecuador","ECU","14_c_1_1",2020,100,1
"15","Estonia","EST","14_c_1_1",2020,100,1
"16","Germany","DEU","14_c_1_1",2020,100,1
"17","Greece","GRC","14_c_1_1",2020,100,1
"18","Guyana","GUY","14_c_1_1",2020,67,0.67
"19","Iceland","ISL","14_c_1_1",2020,100,1
"20","Iraq","IRQ","14_c_1_1",2020,33,0.33
"21","Ireland","IRL","14_c_1_1",2020,100,1
"22","Japan","JPN","14_c_1_1",2020,100,1
"23","Kazakhstan","KAZ","14_c_1_1",2020,0,0
"24","Liechtenstein","LIE","14_c_1_1",2020,0,0
"25","Lithuania","LTU","14_c_1_1",2020,100,1
"26","Madagascar","MDG","14_c_1_1",2020,67,0.67
"27","Malaysia","MYS","14_c_1_1",2020,67,0.67
"28","Mauritius","MUS","14_c_1_1",2020,100,1
"29","Montenegro","MNE","14_c_1_1",2020,67,0.67
"30","Namibia","NAM","14_c_1_1",2020,100,1
"31","New Zealand","NZL","14_c_1_1",2020,100,1
"32","Pakistan","PAK","14_c_1_1",2020,67,0.67
"33","Panama","PAN","14_c_1_1",2020,100,1
"34","Peru","PER","14_c_1_1",2020,0,0
"35","Philippines","PHL","14_c_1_1",2020,100,1
"36","Portugal","PRT","14_c_1_1",2020,100,1
"37","Qatar","QAT","14_c_1_1",2020,67,0.67
"38","Romania","ROU","14_c_1_1",2020,100,1
"39","Slovakia","SVK","14_c_1_1",2020,100,1
"40","Slovenia","SVN","14_c_1_1",2020,100,1
"41","South Korea","KOR","14_c_1_1",2020,100,1
"42","South Sudan","SSD","14_c_1_1",2020,0,0
"43","Suriname","SUR","14_c_1_1",2020,67,0.67
"44","Switzerland","CHE","14_c_1_1",2020,67,0.67
"45","United Kingdom","GBR","14_c_1_1",2020,100,1
"46","Argentina","ARG","14_c_1_2",2020,100,1
"47","Austria","AUT","14_c_1_2",2020,95,0.945533769063181
"48","Azerbaijan","AZE","14_c_1_2",2020,80,0.782135076252723
"49","Bangladesh","BGD","14_c_1_2",2020,90,0.891067538126362
"50","Belarus","BLR","14_c_1_2",2020,48,0.433551198257081
"51","Belize","BLZ","14_c_1_2",2020,67,0.640522875816993
"52","Bulgaria","BGR","14_c_1_2",2020,100,1
"53","Burundi","BDI","14_c_1_2",2020,11,0.0305010893246187
"54","China","CHN","14_c_1_2",2020,95,0.945533769063181
"55","Colombia","COL","14_c_1_2",2020,50,0.455337690631808
"56","Croatia","HRV","14_c_1_2",2020,93,0.923747276688453
"57","Czechia","CZE","14_c_1_2",2020,90,0.891067538126362
"58","Denmark","DNK","14_c_1_2",2020,90,0.891067538126362
"59","Ecuador","ECU","14_c_1_2",2020,57,0.531590413943355
"60","Estonia","EST","14_c_1_2",2020,63,0.596949891067538
"61","Germany","DEU","14_c_1_2",2020,100,1
"62","Greece","GRC","14_c_1_2",2020,100,1
"63","Guyana","GUY","14_c_1_2",2020,65,0.618736383442266
"64","Iceland","ISL","14_c_1_2",2020,100,1
"65","Iraq","IRQ","14_c_1_2",2020,13,0.0522875816993464
"66","Ireland","IRL","14_c_1_2",2020,100,1
"67","Japan","JPN","14_c_1_2",2020,100,1
"68","Liechtenstein","LIE","14_c_1_2",2020,0,0
"69","Lithuania","LTU","14_c_1_2",2020,93,0.923747276688453
"70","Madagascar","MDG","14_c_1_2",2020,50,0.455337690631808
"71","Malaysia","MYS","14_c_1_2",2020,60,0.564270152505447
"72","Mauritius","MUS","14_c_1_2",2020,73,0.705882352941177
"73","Montenegro","MNE","14_c_1_2",2020,40,0.34640522875817
"74","Namibia","NAM","14_c_1_2",2020,80,0.782135076252723
"75","New Zealand","NZL","14_c_1_2",2020,100,1
"76","Pakistan","PAK","14_c_1_2",2020,27,0.20479302832244
"77","Panama","PAN","14_c_1_2",2020,87,0.85838779956427
"78","Peru","PER","14_c_1_2",2020,0,0
"79","Philippines","PHL","14_c_1_2",2020,70,0.673202614379085
"80","Portugal","PRT","14_c_1_2",2020,85,0.836601307189543
"81","Qatar","QAT","14_c_1_2",2020,80,0.782135076252723
"82","Romania","ROU","14_c_1_2",2020,90,0.891067538126362
"83","Slovenia","SVN","14_c_1_2",2020,93,0.923747276688453
"84","South Korea","KOR","14_c_1_2",2020,93,0.923747276688453
"85","South Sudan","SSD","14_c_1_2",2020,17,0.0958605664488018
"86","Suriname","SUR","14_c_1_2",2020,37,0.313725490196078
"87","Switzerland","CHE","14_c_1_2",2020,100,1
"88","United Kingdom","GBR","14_c_1_2",2020,100,1
