"","Entity","Code","SDG","Year","value"
"1","Argentina","ARG","14_c_1_2",2020,100
"2","Austria","AUT","14_c_1_2",2020,95
"3","Azerbaijan","AZE","14_c_1_2",2020,80
"4","Bangladesh","BGD","14_c_1_2",2020,90
"5","Belarus","BLR","14_c_1_2",2020,48
"6","Belize","BLZ","14_c_1_2",2020,67
"7","Bulgaria","BGR","14_c_1_2",2020,100
"8","Burundi","BDI","14_c_1_2",2020,11
"9","China","CHN","14_c_1_2",2020,95
"10","Colombia","COL","14_c_1_2",2020,50
"11","Croatia","HRV","14_c_1_2",2020,93
"12","Czechia","CZE","14_c_1_2",2020,90
"13","Denmark","DNK","14_c_1_2",2020,90
"14","Ecuador","ECU","14_c_1_2",2020,57
"15","Estonia","EST","14_c_1_2",2020,63
"16","Germany","DEU","14_c_1_2",2020,100
"17","Greece","GRC","14_c_1_2",2020,100
"18","Guyana","GUY","14_c_1_2",2020,65
"19","Iceland","ISL","14_c_1_2",2020,100
"20","Iraq","IRQ","14_c_1_2",2020,13
"21","Ireland","IRL","14_c_1_2",2020,100
"22","Japan","JPN","14_c_1_2",2020,100
"23","Liechtenstein","LIE","14_c_1_2",2020,0
"24","Lithuania","LTU","14_c_1_2",2020,93
"25","Madagascar","MDG","14_c_1_2",2020,50
"26","Malaysia","MYS","14_c_1_2",2020,60
"27","Mauritius","MUS","14_c_1_2",2020,73
"28","Montenegro","MNE","14_c_1_2",2020,40
"29","Namibia","NAM","14_c_1_2",2020,80
"30","New Zealand","NZL","14_c_1_2",2020,100
"31","Pakistan","PAK","14_c_1_2",2020,27
"32","Panama","PAN","14_c_1_2",2020,87
"33","Peru","PER","14_c_1_2",2020,0
"34","Philippines","PHL","14_c_1_2",2020,70
"35","Portugal","PRT","14_c_1_2",2020,85
"36","Qatar","QAT","14_c_1_2",2020,80
"37","Romania","ROU","14_c_1_2",2020,90
"38","Slovenia","SVN","14_c_1_2",2020,93
"39","South Korea","KOR","14_c_1_2",2020,93
"40","South Sudan","SSD","14_c_1_2",2020,17
"41","Suriname","SUR","14_c_1_2",2020,37
"42","Switzerland","CHE","14_c_1_2",2020,100
"43","United Kingdom","GBR","14_c_1_2",2020,100
