"","Country","Code","SDG","Year","Value","Value_norm_percent"
"1","Albania","ALB","14_1_1_1","2018",1284797,35.4140964550945
"2","Algeria","DZA","14_1_1_1","2015",34285714,9.96869134435546
"3","Algeria","DZA","14_1_1_1","2016",39450549,8.88149900971227
"4","Algeria","DZA","14_1_1_1","2018",2485,83.8242102489034
"11","Argentina","ARG","14_1_1_1","2015",5832512,23.6925662020271
"12","Argentina","ARG","14_1_1_1","2016",490427,42.8760314001753
"13","Argentina","ARG","14_1_1_1","2017",3788199,27.0362679260947
"14","Argentina","ARG","14_1_1_1","2018",6801203,22.5020735144507
"21","Australia","AUS","14_1_1_1","2015",1514,87.6634770196445
"22","Australia","AUS","14_1_1_1","2016",7202,75.57967723168
"23","Australia","AUS","14_1_1_1","2017",210440,49.4314223155917
"24","Australia","AUS","14_1_1_1","2018",140982,52.5350236165586
"29","Austria","AUT","14_1_1_1","2017",148483,52.133381147035
"30","Azerbaijan","AZE","14_1_1_1","2016",59891,59.168127812184
"31","Azerbaijan","AZE","14_1_1_1","2018",249169,48.1225474174601
"32","Bahamas","BHS","14_1_1_1","2016",101987,55.0437224083445
"33","Bahamas","BHS","14_1_1_1","2017",418691,44.1013244871523
"34","Bahamas","BHS","14_1_1_1","2018",498357,42.751751655214
"35","Bangladesh","BGD","14_1_1_1","2016",146784466,0
"36","Bangladesh","BGD","14_1_1_1","2017",5784746,23.7562805102407
"37","Bangladesh","BGD","14_1_1_1","2018",4008336,26.5986187187978
"38","Barbados","BRB","14_1_1_1","2016",1150075,36.2723694495486
"39","Barbados","BRB","14_1_1_1","2017",2376585,30.6485852565272
"40","Barbados","BRB","14_1_1_1","2018",2485,83.8242102489034
"41","Belgium","BEL","14_1_1_1","2015",15202899,16.2696905771489
"42","Belgium","BEL","14_1_1_1","2016",270451,47.4875252593748
"43","Belgium","BEL","14_1_1_1","2017",227316,48.8337378322344
"44","Belgium","BEL","14_1_1_1","2018",19152,68.0017639895909
"45","Belgium","BEL","14_1_1_1","2019",664536,40.5220930281808
"46","Belize","BLZ","14_1_1_1","2016",1602169,33.7036677876979
"47","Belize","BLZ","14_1_1_1","2017",988723,37.4436199869806
"48","Belize","BLZ","14_1_1_1","2018",1180478,36.0702065868375
"49","Bermuda","BMU","14_1_1_1","2016",484916,42.9635896246555
"50","Bermuda","BMU","14_1_1_1","2017",1806490,32.7736961853886
"51","Bermuda","BMU","14_1_1_1","2018",897788,38.1911484179018
"52","Bonaire Sint Eustatius and Saba","BES","14_1_1_1","2017",152058,51.9490443280639
"53","Bonaire Sint Eustatius and Saba","BES","14_1_1_1","2018",2743364,29.5365906341649
"54","Bosnia and Herzegovina","BIH","14_1_1_1","2016",1428111,34.5947316314873
"55","Brazil","BRA","14_1_1_1","2015",5410680,24.2742314063317
"56","Brazil","BRA","14_1_1_1","2016",1563746,33.8917434627923
"57","Brazil","BRA","14_1_1_1","2017",1792397,32.8343777466392
"58","Brazil","BRA","14_1_1_1","2018",507292,42.6140691233534
"59","Brazil","BRA","14_1_1_1","2019",4741,78.819196381956
"60","British Virgin Islands","VGB","14_1_1_1","2016",2476880,30.3283209824192
"61","British Virgin Islands","VGB","14_1_1_1","2017",2499565,30.2576824174293
"62","Brunei","BRN","14_1_1_1","2016",796452,39.1191031906848
"63","Brunei","BRN","14_1_1_1","2017",204454,49.6550105673006
"64","Brunei","BRN","14_1_1_1","2018",88928,56.1053394122763
"65","Bulgaria","BGR","14_1_1_1","2015",231936,48.6778454638906
"66","Bulgaria","BGR","14_1_1_1","2016",192462,50.1233324979305
"67","Bulgaria","BGR","14_1_1_1","2017",2292929,30.9262310948704
"68","Bulgaria","BGR","14_1_1_1","2018",2618936,29.8962275484278
"69","Bulgaria","BGR","14_1_1_1","2019",2589610,29.9834764966461
