"","X","Country","Code","SDG","Year","Value"
"295",295,"Angola","AGO","14_1_1_1",2000,NA
"296",296,"Angola","AGO","14_1_1_1",2001,NA
"297",297,"Angola","AGO","14_1_1_1",2002,NA
"298",298,"Angola","AGO","14_1_1_1",2003,NA
"299",299,"Angola","AGO","14_1_1_1",2004,NA
"300",300,"Angola","AGO","14_1_1_1",2005,NA
"301",301,"Angola","AGO","14_1_1_1",2006,NA
"302",302,"Angola","AGO","14_1_1_1",2007,NA
"303",303,"Angola","AGO","14_1_1_1",2008,NA
"304",304,"Angola","AGO","14_1_1_1",2009,NA
"305",305,"Angola","AGO","14_1_1_1",2010,NA
"306",306,"Angola","AGO","14_1_1_1",2011,NA
"307",307,"Angola","AGO","14_1_1_1",2012,NA
"308",308,"Angola","AGO","14_1_1_1",2013,NA
"309",309,"Angola","AGO","14_1_1_1",2014,NA
"310",310,"Angola","AGO","14_1_1_1",2015,NA
"311",311,"Angola","AGO","14_1_1_1",2016,NA
"312",312,"Angola","AGO","14_1_1_1",2017,NA
"313",313,"Angola","AGO","14_1_1_1",2018,NA
"314",314,"Angola","AGO","14_1_1_1",2019,NA
"315",315,"Angola","AGO","14_1_1_1",2020,NA
"316",316,"Angola","AGO","14_1_1_2",2000,96.1507945503593
"317",317,"Angola","AGO","14_1_1_2",2001,90.2228368054768
"318",318,"Angola","AGO","14_1_1_2",2002,85.8250402375717
"319",319,"Angola","AGO","14_1_1_2",2003,90.2795094416612
"320",320,"Angola","AGO","14_1_1_2",2004,83.4787930995398
"321",321,"Angola","AGO","14_1_1_2",2005,87.445877632444
"322",322,"Angola","AGO","14_1_1_2",2006,91.3109514202163
"323",323,"Angola","AGO","14_1_1_2",2007,93.0564686146941
"324",324,"Angola","AGO","14_1_1_2",2008,92.6370911069299
"325",325,"Angola","AGO","14_1_1_2",2009,93.3398317956158
"326",326,"Angola","AGO","14_1_1_2",2010,93.5665223403532
"327",327,"Angola","AGO","14_1_1_2",2011,90.0868224786344
