"","Country","Code","Year","SDG","Value"
"1","Angola","AGO",2000,"14",42.4024532676554
"2","Angola","AGO",2001,"14",40.9204638314348
"3","Angola","AGO",2002,"14",39.8210146894585
"4","Angola","AGO",2003,"14",40.9346319904809
"5","Angola","AGO",2004,"14",39.2344529049506
"6","Angola","AGO",2005,"14",40.2262240381766
"7","Angola","AGO",2006,"14",41.1924924851197
"8","Angola","AGO",2007,"14",41.6288717837391
"9","Angola","AGO",2008,"14",41.5240274067981
"10","Angola","AGO",2009,"14",41.6997125789696
"11","Angola","AGO",2010,"14",41.7563852151539
"12","Angola","AGO",2011,"14",40.8864602497242
"13","Angola","AGO",2012,"14",42.7210791482973
"14","Angola","AGO",2013,"14",43.1381316088779
"15","Angola","AGO",2014,"14",43.8873273049633
"16","Angola","AGO",2015,"14",44.2936535521333
"17","Angola","AGO",2016,"14",45.0243540137864
"18","Angola","AGO",2017,"14",45.7806793334484
"19","Angola","AGO",2018,"14",45.5313197342373
"20","Angola","AGO",2019,"14",46.0838779370346
"21","Angola","AGO",2020,"14",56.8671023496277
"22","Anguilla","AIA",2000,"14",30.0447348851005
"23","Anguilla","AIA",2001,"14",30.1410783666139
"24","Anguilla","AIA",2002,"14",29.8180443403631
"25","Anguilla","AIA",2003,"14",30.2459227435549
"26","Anguilla","AIA",2004,"14",28.7639333073343
"27","Anguilla","AIA",2005,"14",30.5292859244767
"28","Anguilla","AIA",2006,"14",30.6369639332269
"29","Anguilla","AIA",2007,"14",27.7154895379239
"30","Anguilla","AIA",2008,"14",30.6397975650361
"31","Anguilla","AIA",2009,"14",25.3805769271289
"32","Anguilla","AIA",2010,"14",28.3105522178596
"33","Anguilla","AIA",2011,"14",30.6426311968453
"34","Anguilla","AIA",2012,"14",30.3775961192474
"35","Anguilla","AIA",2013,"14",29.9172143354041
"36","Anguilla","AIA",2014,"14",30.3599420637438
"37","Anguilla","AIA",2015,"14",30.0147495538803
"38","Anguilla","AIA",2016,"14",30.4479401601688
"39","Anguilla","AIA",2017,"14",30.3854279602754
"40","Anguilla","AIA",2018,"14",30.6536284925903
"41","Anguilla","AIA",2019,"14",30.9060149443826
"42","Anguilla","AIA",2020,"14",30.9060149443826
"43","Albania","ALB",2000,"14",40.3502322614649
"44","Albania","ALB",2001,"14",40.3502322614649
"45","Albania","ALB",2002,"14",39.5500146385419
"46","Albania","ALB",2003,"14",41.757980544284
"47","Albania","ALB",2004,"14",39.956484114116
"48","Albania","ALB",2005,"14",45.1398175852016
"49","Albania","ALB",2006,"14",45.6498713108607
"50","Albania","ALB",2007,"14",46.1202382727541
"51","Albania","ALB",2008,"14",44.4109915654342
"52","Albania","ALB",2009,"14",46.3355942902546
"53","Albania","ALB",2010,"14",47.899530079115
"54","Albania","ALB",2011,"14",49.4999653249609
"55","Albania","ALB",2012,"14",51.2386818030966
