Country,CountryCode,SDG,Year,Value_2_cal
Afghanistan,AFG,15_1_1,2000,2.067824648
Afghanistan,AFG,15_1_1,2001,2.067824648
Afghanistan,AFG,15_1_1,2002,2.067824648
Afghanistan,AFG,15_1_1,2003,2.067824648
Afghanistan,AFG,15_1_1,2004,2.067824648
Afghanistan,AFG,15_1_1,2005,2.067824648
Afghanistan,AFG,15_1_1,2006,2.067824648
Afghanistan,AFG,15_1_1,2007,2.067824648
Afghanistan,AFG,15_1_1,2008,2.067824648
Afghanistan,AFG,15_1_1,2009,2.067824648
Afghanistan,AFG,15_1_1,2010,2.067824648
Afghanistan,AFG,15_1_1,2011,2.067824648
Afghanistan,AFG,15_1_1,2012,2.067824648
Afghanistan,AFG,15_1_1,2013,2.067824648
Afghanistan,AFG,15_1_1,2014,2.067824648
Afghanistan,AFG,15_1_1,2015,2.067824648
Afghanistan,AFG,15_1_1,2016,2.067824648
Afghanistan,AFG,15_1_1,2017,2.067824648
Afghanistan,AFG,15_1_1,2018,2.067824648
Afghanistan,AFG,15_1_2_1,2000,0.11304
Afghanistan,AFG,15_1_2_1,2001,0.11304
Afghanistan,AFG,15_1_2_1,2002,0.11304
Afghanistan,AFG,15_1_2_1,2003,0.11304
Afghanistan,AFG,15_1_2_1,2004,0.11304
Afghanistan,AFG,15_1_2_1,2005,0.11304
Afghanistan,AFG,15_1_2_1,2006,0.11304
Afghanistan,AFG,15_1_2_1,2007,0.11304
Afghanistan,AFG,15_1_2_1,2008,0.11304
Afghanistan,AFG,15_1_2_1,2009,0.11304
Afghanistan,AFG,15_1_2_1,2010,0.11304
Afghanistan,AFG,15_1_2_1,2011,0.11304
Afghanistan,AFG,15_1_2_1,2012,0.11304
Afghanistan,AFG,15_1_2_1,2013,0.11304
Afghanistan,AFG,15_1_2_1,2014,0.11304
Afghanistan,AFG,15_1_2_1,2015,0.11304
Afghanistan,AFG,15_1_2_1,2016,0.11304
Afghanistan,AFG,15_1_2_1,2017,0.11304
Afghanistan,AFG,15_1_2_1,2018,0.11304
Afghanistan,AFG,15_1_2_2,2000,0.04239
Afghanistan,AFG,15_1_2_2,2001,0.04239
Afghanistan,AFG,15_1_2_2,2002,0.04239
Afghanistan,AFG,15_1_2_2,2003,0.04239
Afghanistan,AFG,15_1_2_2,2004,0.04239
Afghanistan,AFG,15_1_2_2,2005,0.04239
Afghanistan,AFG,15_1_2_2,2006,0.04239
Afghanistan,AFG,15_1_2_2,2007,0.04239
Afghanistan,AFG,15_1_2_2,2008,0.04239
Afghanistan,AFG,15_1_2_2,2009,6.14129
Afghanistan,AFG,15_1_2_2,2010,6.14129
Afghanistan,AFG,15_1_2_2,2011,6.14129
Afghanistan,AFG,15_1_2_2,2012,6.14129
Afghanistan,AFG,15_1_2_2,2013,6.14129
Afghanistan,AFG,15_1_2_2,2014,6.14129
Afghanistan,AFG,15_1_2_2,2015,6.14129
Afghanistan,AFG,15_1_2_2,2016,6.14129
Afghanistan,AFG,15_1_2_2,2017,6.14129
Afghanistan,AFG,15_1_2_2,2018,6.14129
Afghanistan,AFG,15_2_1_1,2000,0
Afghanistan,AFG,15_2_1_1,2001,0
Afghanistan,AFG,15_2_1_1,2002,0
Afghanistan,AFG,15_2_1_1,2003,0
Afghanistan,AFG,15_2_1_1,2004,0
Afghanistan,AFG,15_2_1_1,2005,0
Afghanistan,AFG,15_2_1_1,2006,0
Afghanistan,AFG,15_2_1_1,2007,0
Afghanistan,AFG,15_2_1_1,2008,0
Afghanistan,AFG,15_2_1_1,2009,0
Afghanistan,AFG,15_2_1_1,2010,0
Afghanistan,AFG,15_2_1_1,2011,0
Afghanistan,AFG,15_2_1_1,2012,0
Afghanistan,AFG,15_2_1_1,2013,0
Afghanistan,AFG,15_2_1_1,2014,0
Afghanistan,AFG,15_2_1_1,2015,0
Afghanistan,AFG,15_2_1_1,2016,0
Afghanistan,AFG,15_2_1_1,2017,0
Afghanistan,AFG,15_2_1_1,2018,0
Afghanistan,AFG,15_2_1_2,2000,0
Afghanistan,AFG,15_2_1_2,2001,0
Afghanistan,AFG,15_2_1_2,2002,0
Afghanistan,AFG,15_2_1_2,2003,0
Afghanistan,AFG,15_2_1_2,2004,0
Afghanistan,AFG,15_2_1_2,2005,0
Afghanistan,AFG,15_2_1_2,2006,0
Afghanistan,AFG,15_2_1_2,2007,0
Afghanistan,AFG,15_2_1_2,2008,0
Afghanistan,AFG,15_2_1_2,2009,0
Afghanistan,AFG,15_2_1_2,2010,0
Afghanistan,AFG,15_2_1_2,2011,0
Afghanistan,AFG,15_2_1_2,2012,0
Afghanistan,AFG,15_2_1_2,2013,0
Afghanistan,AFG,15_2_1_2,2014,0
Afghanistan,AFG,15_2_1_2,2015,0
Afghanistan,AFG,15_2_1_2,2016,0
