GeoAreaCode,GeoAreaName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
8,Albania,9.23875,9.23875,9.23875,9.23875,21.51751,33.34536,33.34536,38.68951,38.68951,38.68951,63.3863,63.3863,63.3863,70.65466,70.65466,70.65466,70.69782,70.69782,70.69782,70.69782
12,Algeria,39.83821,39.83821,39.83821,39.83821,39.83821,48.92912,48.92912,48.92912,48.92912,48.92912,48.92912,48.92912,48.92912,48.92912,48.92912,48.92912,48.92912,48.92912,48.92912,48.92912
16,American Samoa,69.17145,69.17145,69.17145,69.17732,69.17732,69.17732,69.17732,69.17732,69.17732,69.17732,69.17732,69.17732,69.17732,69.17732,69.17732,69.17732,69.17732,69.17732,69.17732,69.17732
24,Angola,66.58023,66.58023,66.58023,66.58023,66.58023,66.58023,66.58023,66.58023,66.58023,66.58023,66.58023,66.58023,66.58023,66.58023,66.58023,66.58023,66.58023,66.58023,66.58023,66.58023
660,Anguilla,13.31575,13.31575,13.31575,13.31575,13.31575,13.31575,13.31575,13.31575,13.31575,13.31575,13.31575,13.31575,13.31575,13.31575,13.31575,13.31575,13.31575,13.31575,13.43641,13.43641
28,Antigua and Barbuda,0,0,0,0,0,19.07045,19.07045,19.07045,19.07045,19.07045,19.07045,19.07045,19.07045,19.07045,19.07045,19.07045,19.07045,19.07045,19.07045,19.07045
32,Argentina,28.20771,31.22474,31.23497,31.23497,33.89184,36.31643,36.31643,36.31643,36.31643,38.09875,38.09875,38.09875,38.37897,38.37897,38.37897,38.37897,40.52593,40.52593,40.52593,40.52593
533,Aruba,23.92445,23.92445,23.92445,23.92445,23.92445,23.92445,23.92445,23.92445,23.92445,23.92445,23.92445,23.92445,23.92445,23.92445,23.92445,23.92445,23.92445,23.92445,23.92445,23.92445
36,Australia,42.91707,43.10002,44.75936,45.06939,45.19366,45.6799,46.70083,48.0066,48.85727,53.22838,53.78497,56.04374,58.78327,61.54753,61.65595,61.95553,63.16105,63.16105,63.16195,63.16195
44,Bahamas,7.0998,7.0998,9.61514,9.61514,9.61514,9.61514,9.61514,9.61514,9.61514,9.64357,9.68879,9.68879,9.68964,9.68964,9.68964,28.6542,28.6542,28.6542,28.6542,28.6542
