GeoAreaCode,GeoAreaName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
4,Afghanistan,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
248,Åland Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,Albania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,Algeria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,Andorra,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
24,Angola,,,,,,,,,,,,0.83231,,1.169,,1.78591,,1.93517
660,Anguilla,,,,,,,,,,,,1.12185,,0.95461,,,,
28,Antigua and Barbuda,,,,,,,,,,,,0.60439,,0.6003,,,,
32,Argentina,,,,,,,,,,,,0.0728,,0.11362,,0.06759,,0.08539
51,Armenia,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
533,Aruba,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,Australia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,Austria,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
31,Azerbaijan,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
44,Bahamas,,,,,,,,,,,,0.84384,,0.53238,,0.57008,,
48,Bahrain,,,,,,,,,,,,0.06838,,0.05765,,0.05666,,0.06591
48,Bahrain,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,
50,Bangladesh,,,,,,,,,,,,0.48799,,0.45183,,0.32845,,0.28036
52,Barbados,,,,,,,,,,,,0.0534,,0.0987,,0.06488,,0.0895
112,Belarus,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
56,Belgium,,,,,,,,,,,,0.01007,,0.00842,,0.00874,,0.00937
84,Belize,,,,,,,,,,,,0.92748,,1.38852,,1.19579,,0.60857
204,Benin,,,,,,,,,,,,0.12336,,0.25479,,,,
60,Bermuda,,,,,,,,,,,,0.07481,,0.04837,,0.02415,,0.05803
64,Bhutan,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
68,Bolivia (Plurinational State of),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
535,"Bonaire, Sint Eustatius and Saba",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,Bosnia and Herzegovina,,,,,,,,,,,,0.00002,,0.00002,,0.00001,,0.00001
