GeoAreaCode,GeoAreaName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
4,Afghanistan,,,,,,,,,,,,,,,,,,,NaN
248,Åland Islands,,,,,,,,,,,,,,,,,,,N
8,Albania,,,,,,,,,,,,,,,,,,,3
12,Algeria,,,,,,,,,,,,,,,,,,,NaN
16,American Samoa,,,,,,,,,,,,,,,,,,,N
20,Andorra,,,,,,,,,,,,,,,,,,,N
24,Angola,,,,,,,,,,,,,,,,,,,NaN
660,Anguilla,,,,,,,,,,,,,,,,,,,N
28,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,5
32,Argentina,,,,,,,,,,,,,,,,,,,NV
51,Armenia,,,,,,,,,,,,,,,,,,,2
533,Aruba,,,,,,,,,,,,,,,,,,,N
36,Australia,,,,,,,,,,,,,,,,,,,N
40,Austria,,,,,,,,,,,,,,,,,,,4
31,Azerbaijan,,,,,,,,,,,,,,,,,,,3
44,Bahamas,,,,,,,,,,,,,,,,,,,4
48,Bahrain,,,,,,,,,,,,,,,,,,,NaN
50,Bangladesh,,,,,,,,,,,,,,,,,,,3
52,Barbados,,,,,,,,,,,,,,,,,,,NaN
112,Belarus,,,,,,,,,,,,,,,,,,,NaN
56,Belgium,,,,,,,,,,,,,,,,,,,4
84,Belize,,,,,,,,,,,,,,,,,,,5
204,Benin,,,,,,,,,,,,,,,,,,,4
60,Bermuda,,,,,,,,,,,,,,,,,,,N
64,Bhutan,,,,,,,,,,,,,,,,,,,3
68,Bolivia (Plurinational State of),,,,,,,,,,,,,,,,,,,NaN
535,"Bonaire, Sint Eustatius and Saba",,,,,,,,,,,,,,,,,,,N
70,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,N
72,Botswana,,,,,,,,,,,,,,,,,,,4
76,Brazil,,,,,,,,,,,,,,,,,,,NV
92,British Virgin Islands,,,,,,,,,,,,,,,,,,,N
96,Brunei Darussalam,,,,,,,,,,,,,,,,,,,NaN
100,Bulgaria,,,,,,,,,,,,,,,,,,,4
854,Burkina Faso,,,,,,,,,,,,,,,,,,,4
108,Burundi,,,,,,,,,,,,,,,,,,,5
132,Cabo Verde,,,,,,,,,,,,,,,,,,,5
116,Cambodia,,,,,,,,,,,,,,,,,,,NaN
120,Cameroon,,,,,,,,,,,,,,,,,,,4
124,Canada,,,,,,,,,,,,,,,,,,,4
29,Caribbean,,,,,,,,,,,,,,,,,,,4
136,Cayman Islands,,,,,,,,,,,,,,,,,,,N
148,Chad,,,,,,,,,,,,,,,,,,,5
830,Channel Islands,,,,,,,,,,,,,,,,,,,N
152,Chile,,,,,,,,,,,,,,,,,,,5
156,China,,,,,,,,,,,,,,,,,,,NV
344,"China, Hong Kong Special Administrative Region",,,,,,,,,,,,,,,,,,,N
446,"China, Macao Special Administrative Region",,,,,,,,,,,,,,,,,,,N
162,Christmas Island,,,,,,,,,,,,,,,,,,,N
166,Cocos (Keeling) Islands,,,,,,,,,,,,,,,,,,,N
170,Colombia,,,,,,,,,,,,,,,,,,,NV
174,Comoros,,,,,,,,,,,,,,,,,,,N
178,Congo,,,,,,,,,,,,,,,,,,,NaN
184,Cook Islands,,,,,,,,,,,,,,,,,,,NaN
188,Costa Rica,,,,,,,,,,,,,,,,,,,NaN
384,Côte d'Ivoire,,,,,,,,,,,,,,,,,,,5
191,Croatia,,,,,,,,,,,,,,,,,,,4
192,Cuba,,,,,,,,,,,,,,,,,,,5
531,Curaçao,,,,,,,,,,,,,,,,,,,N
196,Cyprus,,,,,,,,,,,,,,,,,,,4
203,Czechia,,,,,,,,,,,,,,,,,,,4
408,Democratic People's Republic of Korea,,,,,,,,,,,,,,,,,,,NaN
180,Democratic Republic of the Congo,,,,,,,,,,,,,,,,,,,NaN
208,Denmark,,,,,,,,,,,,,,,,,,,4
262,Djibouti,,,,,,,,,,,,,,,,,,,NaN
212,Dominica,,,,,,,,,,,,,,,,,,,3
214,Dominican Republic,,,,,,,,,,,,,,,,,,,4
218,Ecuador,,,,,,,,,,,,,,,,,,,NV
818,Egypt,,,,,,,,,,,,,,,,,,,NaN
222,El Salvador,,,,,,,,,,,,,,,,,,,5
226,Equatorial Guinea,,,,,,,,,,,,,,,,,,,NaN
232,Eritrea,,,,,,,,,,,,,,,,,,,3
233,Estonia,,,,,,,,,,,,,,,,,,,4
748,Eswatini,,,,,,,,,,,,,,,,,,,2
231,Ethiopia,,,,,,,,,,,,,,,,,,,4
238,Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,N
234,Faroe Islands,,,,,,,,,,,,,,,,,,,4
242,Fiji,,,,,,,,,,,,,,,,,,,5
246,Finland,,,,,,,,,,,,,,,,,,,4
250,France,,,,,,,,,,,,,,,,,,,4
254,French Guiana,,,,,,,,,,,,,,,,,,,N
258,French Polynesia,,,,,,,,,,,,,,,,,,,N
260,French Southern Territories,,,,,,,,,,,,,,,,,,,N
266,Gabon,,,,,,,,,,,,,,,,,,,NaN
270,Gambia,,,,,,,,,,,,,,,,,,,5
268,Georgia,,,,,,,,,,,,,,,,,,,1
276,Germany,,,,,,,,,,,,,,,,,,,4
288,Ghana,,,,,,,,,,,,,,,,,,,5
292,Gibraltar,,,,,,,,,,,,,,,,,,,N
300,Greece,,,,,,,,,,,,,,,,,,,4
304,Greenland,,,,,,,,,,,,,,,,,,,N
308,Grenada,,,,,,,,,,,,,,,,,,,NaN
312,Guadeloupe,,,,,,,,,,,,,,,,,,,N
316,Guam,,,,,,,,,,,,,,,,,,,N
320,Guatemala,,,,,,,,,,,,,,,,,,,3
831,Guernsey,,,,,,,,,,,,,,,,,,,N
324,Guinea,,,,,,,,,,,,,,,,,,,4
624,Guinea-Bissau,,,,,,,,,,,,,,,,,,,NaN
328,Guyana,,,,,,,,,,,,,,,,,,,3
332,Haiti,,,,,,,,,,,,,,,,,,,NaN
334,Heard Island and McDonald Islands,,,,,,,,,,,,,,,,,,,N
336,Holy See,,,,,,,,,,,,,,,,,,,N
340,Honduras,,,,,,,,,,,,,,,,,,,5
348,Hungary,,,,,,,,,,,,,,,,,,,4
352,Iceland,,,,,,,,,,,,,,,,,,,4
356,India,,,,,,,,,,,,,,,,,,,NaN
360,Indonesia,,,,,,,,,,,,,,,,,,,5
364,Iran (Islamic Republic of),,,,,,,,,,,,,,,,,,,4
368,Iraq,,,,,,,,,,,,,,,,,,,NaN
372,Ireland,,,,,,,,,,,,,,,,,,,4
833,Isle of Man,,,,,,,,,,,,,,,,,,,N
376,Israel,,,,,,,,,,,,,,,,,,,NaN
380,Italy,,,,,,,,,,,,,,,,,,,4
388,Jamaica,,,,,,,,,,,,,,,,,,,2
392,Japan,,,,,,,,,,,,,,,,,,,4
832,Jersey,,,,,,,,,,,,,,,,,,,N
400,Jordan,,,,,,,,,,,,,,,,,,,NaN
398,Kazakhstan,,,,,,,,,,,,,,,,,,,NaN
404,Kenya,,,,,,,,,,,,,,,,,,,NaN
296,Kiribati,,,,,,,,,,,,,,,,,,,NaN
414,Kuwait,,,,,,,,,,,,,,,,,,,N
417,Kyrgyzstan,,,,,,,,,,,,,,,,,,,3
418,Lao People's Democratic Republic,,,,,,,,,,,,,,,,,,,NaN
419,Latin America and the Caribbean,,,,,,,,,,,,,,,,,,,4
