"","Country","countrycode","CountryCode","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018"
"1","Afghanistan","AFG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Albania","ALB",NA,19.33895,NA,NA,NA,NA,22.17758,NA,NA,NA,NA,21.01102,NA,NA,NA,NA,NA,NA,NA,NA
"3","Algeria","DZA",NA,6.08384,NA,NA,NA,NA,6.08384,NA,NA,NA,NA,6.08384,NA,NA,NA,NA,6.08384,NA,NA,NA
"4","Angola","AGO",NA,3.21834,NA,NA,NA,NA,3.21834,NA,NA,NA,NA,3.21834,NA,NA,NA,NA,3.21834,NA,NA,NA
"5","Argentina","ARG",NA,4.26748,NA,NA,NA,NA,4.27855,NA,NA,NA,NA,4.27855,NA,NA,NA,NA,7.14075,NA,NA,NA
"6","Armenia","ARM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Australia","AUS",NA,11.15422,NA,NA,NA,NA,13.63676,NA,NA,NA,NA,15.23916,NA,NA,NA,NA,17.17181,NA,NA,NA
"8","Austria","AUT",NA,26.33755,NA,NA,NA,NA,17.03283,NA,NA,NA,NA,17.03283,NA,NA,NA,NA,17.03283,NA,NA,NA
"9","Azerbaijan","AZE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Bangladesh","BGD",NA,15.88523,NA,NA,NA,NA,17.21484,NA,NA,NA,NA,17.35479,NA,NA,NA,NA,18.96431,NA,NA,NA
"11","Belgium","BEL",NA,3.9801,NA,NA,NA,NA,3.99473,NA,NA,NA,NA,3.84841,NA,NA,NA,NA,3.84841,NA,NA,NA
"12","Belize","BLZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Bhutan","BTN",NA,31.47475,NA,NA,NA,NA,31.72042,NA,NA,NA,NA,31.96613,NA,NA,NA,NA,32.21183,NA,NA,NA
"14","Bosnia and Herzegovina","BIH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Botswana","BWA",NA,100,NA,NA,NA,NA,100,NA,NA,NA,NA,100,NA,NA,NA,NA,100,NA,NA,NA
"16","Brazil","BRA",NA,30.93014,NA,NA,NA,NA,37.59873,NA,NA,NA,NA,41.48353,NA,NA,NA,NA,41.78543,NA,NA,NA
"17","Brunei Darussalam","BRN",NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA
"18","Burkina Faso","BFA",NA,18.91589,NA,NA,NA,NA,18.72897,NA,NA,NA,NA,18.54206,NA,NA,NA,NA,18.37383,NA,NA,NA
"19","Burundi","BDI",NA,37.31884,NA,NA,NA,NA,37.31884,NA,NA,NA,NA,50.58333,NA,NA,NA,NA,56.38043,NA,NA,NA
"20","Cambodia","KHM",NA,33.66818,NA,NA,NA,NA,33.18177,NA,NA,NA,NA,32.69536,NA,NA,NA,NA,32.69536,NA,NA,NA
"21","Cameroon","CMR",NA,31.88776,NA,NA,NA,NA,33.87011,NA,NA,NA,NA,48.38967,NA,NA,NA,NA,48.38967,NA,NA,NA
